Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3938065f2469907ff0a099fdd9db2990f6b7461a42a9dbe7b7cbd68615575a3c,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
24f5f3f82a14168be5eef83034f330c96331e42c26e3d09b3af355e15ea5548d,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Further investigation is not in the public interest
63519e0c643570d9b6dd3d0eb1a83308e3baa3b8a76142ad3bbbb8f924a8318a,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
ba21aa6e267d4a40128fb611abe1e045ca2d19ccfd37b94a4ffda4ffaef0a532,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
796db4b8dc1fcf78d84b4c95a56cd882083e2f2ec9185b572b708927171ccda5,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
cfda5e8e395fe66ce816a9c88e417c2abc3a0c301e25481837c6203a3bdae5b6,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Investigation complete; no suspect identified
101a53bab5dc1ebe19481f30e0aa107df944a9c4c48f8f0e152b7b2ba01171f6,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
4dafb26e5f2b99b26c6d317a602e8f7930b0804d00aefb541e5e90fb4cb71d9e,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Further investigation is not in the public interest
87fe102e662362de18ca7ad7ffe353dc2fc1452941e99dc47e1aad55dea026be,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
829b8adf8a1f953b23d7f12126c8b24d2e581f0a93b112e819950f9fe71de9ef,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
3aedb244bb22b6580cba1f83780e826d706c8f054b71536b42640f3afb590135,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
5b803a4bc6002117602ae314ebe6b841104a8faefdcdcae4b86e609fd2c272e9,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
7071954f44aec3beaf2a7b247e9a7cda817aac45759c136a83907e70b1f0fec6,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
ab4ee70993ec18f8813ba7378fbb7d2da31c95509fb5598251fbb76340428e47,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
f4633378b91f12cee5cd9e46345096a1cd7b4c2c5c40a25591255667a5359d68,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
d4e54eab6869bc2dc9a2f53269a6af6fabc3c89c5f41d6faefa24d9cccd37cee,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Further action is not in the public interest
7ebe9bf42c4dbb4e4a01c2883960de6c06836c50e90dba051f846b39a25da4c2,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Investigation complete; no suspect identified
aa7ba2b34a93ee633ffdc32ca012cb335e761df55c79be55dbd2772c499917bb,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Investigation complete; no suspect identified
c4e494e55ed875ecea3cc707c2ca9d7ac063913b4612b44c76eb48d32cd23ee0,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Action to be taken by another organisation
324718bd16c92cdb58efe333c522aed89f1cc50fd2524e0362ea02795c9ebe37,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
395b705d0837d49861c26638cdfd1965de60202f36d6b29e233c5b324488da94,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
5b3203e7fe77ec7d650597d85d484cc3999e2a7e140b22346eec8c7c20389b4b,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
ee3a81457621ed1732a960e3d349d7eca31680ad5155db316c8a581d04e5bf60,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
4869e3b7434dc31f82c3530f4bd2e5e071a5e44cb1ab577e82f0247bfdad9c29,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
ac6fcf1526b657edfc34528492edd86697ef23f4d26c0545aaa81742d6a31282,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
ef96dbbdc38ba20148cc45e65b12c59d781d9582b6b80b1e15c284750f6fb604,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.620684,50.953920,On or near The Manse,E01029237,South Somerset 014E,Unable to prosecute suspect
338df68ce8b9ab3d40e0d94aced545310b48a5b57628650af81247ca4e1883b3,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
48c59345e051563a747c96b580a5bb665c06e234480a886f5798a5203b9e327a,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
5d8af2fa82daedf0c5bf41418c43d0469d301aeab33a75f92b97708702ef170b,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
53323c396442f105534d2ebacfb7f5369ff804fd446db8fbcf6cddaa748efbe9,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
ce98bf9d4da258311b961d2bdca13dd8b396983a8f781e355dfad1ecd27cf807,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
0a77ee53bbe3e5ab6750c864cbfb8f5f8b05c1273f3d55e6dd377a129db8efbe,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
bf2ee79bc8078cc5bad41b11ef1a38dfd8c44d9cb0bb75e2a19e41bf0061a86d,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
8805b34d6fe1c30677d62b0148d3828d6845deb37a8f4f055626607c9d5cf70a,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
abed1986e5fdaa0ba93b67c2d58e2149aea6ad297587668a9ce921a259b54f5e,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Further action is not in the public interest
ecfa87e4320fc812e7e9490f87eb9ceed22f34ce9acef2e938bd5860e8005b40,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.525263,51.605490,On or near Tanners Court,E01014991,South Gloucestershire 002B,Investigation complete; no suspect identified
0937af7a0a7b44a66e68c8e2764861a46653ed51ac084ba82a394f1ad818ed1a,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.582888,51.526219,On or near Pear Tree Leaze,E01014949,South Gloucestershire 011D,Investigation complete; no suspect identified
0584deae4b8b02435defda0a61a11e43cfc62b173ff093754c82ebaa0a4e2564,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.916387,50.922882,On or near The Incline,E01029195,South Somerset 019C,Investigation complete; no suspect identified
788b844411accb26cb8e6131a0724c90d7c10c21f1298c278912ec4dc4923af1,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.334802,51.233351,On or near Leaze Road,E01029043,Mendip 004D,Investigation complete; no suspect identified
cfd578b9ded06b8e2a4fb264441be295d3fc31b2a09a441ef5ec2e5ab01dfcbd,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.565740,51.476643,On or near Kirtlington Road,E01014665,Bristol 014D,Investigation complete; no suspect identified
f8dbc5554473165f6cd4dcdd7ba3182065947fdf25921d80283bb32c38777716,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.672784,51.495418,On or near Playford Gardens,E01014498,Bristol 003B,Investigation complete; no suspect identified
feee999315f72ce26aa97b56f9235942d0203126e03d01249d09151a364195e4,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Investigation complete; no suspect identified
a1ca956e01171a6f2961d916a9cff827d44a2c7f2d34fb7ca7bf3ef1e7f5b924,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.555187,51.473196,On or near Gloucester Street,E01014574,Bristol 057D,Investigation complete; no suspect identified
cac3cd0e3a1008c6a203131ce57641f8acb5ad5404154873077e3a548e015682,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.979527,51.226924,On or near Oldway Place,E01029134,Sedgemoor 005E,Investigation complete; no suspect identified
ce9c23fe29b6119e02fa562f602c3aafb660aaa5932467287e2a84fe465551b0,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.607380,51.446196,On or near A370,E01014699,Bristol 036D,Investigation complete; no suspect identified
e89149724daa446d6a47acd23d0b975f5e4b9f9bb76d5b15f332526ce5c07b7f,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.991774,51.146358,On or near ,E01029090,Sedgemoor 010A,Investigation complete; no suspect identified
ffefdd59383daa46d3a0926bfc2f078c63a6f0a0a1029d394a1c8e91622ffbc0,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.991774,51.146358,On or near ,E01029090,Sedgemoor 010A,Investigation complete; no suspect identified
d3435bfe6e82b5ffe0e40f754964c5df4340433b9ac7621d8da1f09f0c8a4ae6,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.595836,51.405010,On or near Hollister's Drive,E01032514,Bristol 053E,Investigation complete; no suspect identified
5cf3adc3d37870b36cc0feab6d9716890a822ec57b58b16c9bdcbf4dd6890fdd,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.557186,51.437579,On or near Bath Road,E01014533,Bristol 043A,Investigation complete; no suspect identified
773a4ea93ec1d04f2908b360bdfc52cd7d8f3a71ac41e05c5815419f3ad3e9d5,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.541474,51.448407,On or near The Old Mission,E01014530,Bristol 035C,Investigation complete; no suspect identified
a2adf695171efbefffe0058446608203d87c53bcda08e06b5af199faf06fdb5e,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.513775,51.442139,On or near Rogers Court,E01014921,South Gloucestershire 031F,Investigation complete; no suspect identified
920806c0028fcb69c189b7b3de75fa0ee5469fa33c4077ebefdce2056b65165a,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-3.005552,51.180384,On or near Scot Close,E01029135,Sedgemoor 006A,Investigation complete; no suspect identified
62cab5b5fbc2ecca1967633db4fa10c00a694463dd895898abd4cf7286b22748,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.615844,51.410032,On or near Hosey Walk,E01014595,Bristol 051B,Investigation complete; no suspect identified
5684c1c5f8fa3350144b79fa3fc677f92bc661667f47cc1a9a8316c676a140fb,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.596159,51.454121,On or near St Stephen's Avenue,E01014540,Bristol 032B,Investigation complete; no suspect identified
b8f91d8a3ffe5206fbb121f9c45f76af873cbcd3ef397c459b65c52a17fe9490,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-3.004607,51.137571,On or near Saltlands,E01029110,Sedgemoor 009C,Investigation complete; no suspect identified
5204701fda935b9e379ff2d56fc8da108424abc60ebcd8ca23253be298cf619d,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.604731,50.958769,On or near Somerville Close,E01029253,South Somerset 011C,Investigation complete; no suspect identified
0e75bb67c42eca3b9a9de9c7e30c90efe0b85affcce012369f95974d74e6bc4d,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Investigation complete; no suspect identified
28d2741206a4f7a74fd1f442ec55224024f032a058389ac0c44cd3a570604324,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.598629,51.452625,On or near Mark Lane,E01033345,Bristol 032F,Investigation complete; no suspect identified
4e31efe3ee861fdb2079cab19eac0c3bb031291341b1ae9fa18a42ca1f6aac1e,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.956762,50.926182,On or near ,E01029208,South Somerset 019D,Investigation complete; no suspect identified
65dafc943285b514f279259279743e5be68dc12c2b08175afde73a3db3f62a6a,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.527730,51.473179,On or near Ivy Lane,E01014622,Bristol 021A,Investigation complete; no suspect identified
6e6bd2e22a5d51b178d369a90edc054702fc1403768d229f4287ab5523063fba,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.594012,51.508189,On or near Blandamour Way,E01014690,Bristol 002C,Investigation complete; no suspect identified
d48c42caf854b19dbd8fae17fb6c86df1db800d51e3ffedbd358ad47807c9be2,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.506747,51.529891,On or near Green Lane,E01014998,South Gloucestershire 016A,Investigation complete; no suspect identified
5d04981ced5c1da0cf7a57e409cf62048bcc99ad24d4f8bda95b36d3d302c837,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.581933,51.536142,On or near Severn Way,E01014946,South Gloucestershire 011A,Investigation complete; no suspect identified
6047fffa5cbc78c64c088798aec201ea8f38b809688699f217827604ebfdcb91,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.591150,51.459667,On or near B4051,E01033342,Bristol 025E,Investigation complete; no suspect identified
71458ad3e3d5abcbbe755e7607fe3c554d3beefc69a266fa419d4b910e3dc1e5,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.911118,51.360370,On or near Appletree Mews,E01032672,North Somerset 026E,Investigation complete; no suspect identified
daa681cb68d4815908c5491186bb4453cbeb4ce70c8cb6a54e596a244e04ee91,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.975859,51.348581,On or near Orchard Street,E01014801,North Somerset 020C,Investigation complete; no suspect identified
73212500c281fd331bba2db464e4802e4c87c69de4d2cc0194a66d574faecb40,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.975859,51.348581,On or near Orchard Street,E01014801,North Somerset 020C,Investigation complete; no suspect identified
788093cc3a8354bb74e5e47c614437ab7880aff0b08ab3f21c63c7a547f3dd78,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.621486,51.410443,On or near Spinney Croft,E01014515,Bristol 050A,Investigation complete; no suspect identified
542de433e0441b9c4c48f3ae10d63c0d8e808b127355727b713119c8c61a8f97,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-3.101067,51.013425,On or near Paul Street,E01029284,Taunton Deane 010B,Investigation complete; no suspect identified
cb1bdd4205688731e037aa3820282b16688b45b1fdeecb2594e99959b3846a4f,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.581781,51.443880,On or near Richmond Street,E01014731,Bristol 037B,Investigation complete; no suspect identified
50483c4f72a19a80b33d488b1d75afc6be18b5b0a0623507f0e7e560c218b561,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.626835,51.410531,On or near Shuter Road,E01014515,Bristol 050A,Investigation complete; no suspect identified
177e4c6e60c695fe3283d75de1aaa7df2005ca2bce8d81669bad2b585e07363d,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.365642,51.381740,On or near Charles Street,E01014407,Bath and North East Somerset 009C,Investigation complete; no suspect identified
05d5b2aff1ae2b11c95971a40188ce9ed69454b071fe2a070d218a1667c99bb5,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-3.353865,51.020408,On or near New Road,E01029321,Taunton Deane 003C,Investigation complete; no suspect identified
21384d5dc54a823042a2b226265f87f9319c3ff0e529bc0daf9481db09725f4d,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-3.085773,51.014107,On or near Wordsworth Drive,E01029280,Taunton Deane 009A,Investigation complete; no suspect identified
6dfc049a52ea99b276335a6dbf52ad0f0f7ad475f105673b450814f88e622e4a,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.545291,51.475292,On or near Knowsley Road,E01014573,Bristol 019B,Investigation complete; no suspect identified
03c33dde4bcbffa3317cdbffbeec1375f819e74d1174ea4e9758af95ea310f37,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.510190,51.461271,On or near ,E01015007,South Gloucestershire 028D,Investigation complete; no suspect identified
c3d483afeb70920845b46d7449171d0ba4468800276f141d8d7898be4a1f2d0d,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.712091,51.147749,On or near Lambrook Street,E01032627,Mendip 011F,Investigation complete; no suspect identified
31fc5fe46d1930cf8e643aa52e8ce0c328d41f6fc4c1f353adf303345150963b,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.584112,51.442744,On or near St Luke's Road,E01014731,Bristol 037B,Investigation complete; no suspect identified
f8ddceee3872caec439202f23e9926bfb0edb8028d996b14a898aedc6a4ae4c9,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Investigation complete; no suspect identified
880a95460d85bc70e4ffe9b19bf76cdce7451a09b559ac40567d8ffbae185950,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.362923,51.381317,On or near Kingsmead Square,E01014407,Bath and North East Somerset 009C,Investigation complete; no suspect identified
c4f1a779b5c89f4aa3a53c8ef2e89347867ef21ebbfcb823a4186a0b5c7dcb2c,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-3.423862,51.173944,On or near Milletts Close,E01029326,West Somerset 003A,Investigation complete; no suspect identified
edb49eceb83c51a653f27fc27ce6be08ba25635767d1234a1c120d92945105f6,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.446249,51.292721,On or near ,E01014448,Bath and North East Somerset 024A,Investigation complete; no suspect identified
6ba38628dde1e577eb7e779d9648f415fdc2826a574b56a53ead7100ab8f582f,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Investigation complete; no suspect identified
be9bb1af0567a1c29396103bac79cca23693c09351a8c2bf34863287357e1e0f,2022-10,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-3.002807,51.129062,On or near Queen Street,E01029112,Sedgemoor 009E,Investigation complete; no suspect identified
