Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8ee12d111e150793e69500119390ac087600866052e2f81f3c0489c27cbf6ee0,2022-10,Bedfordshire Police,Bedfordshire Police,-0.416120,51.878932,On or near George Street,E01033803,Luton 023A,Local resolution
2f83b03fb797f42a31a992a73ac0f65f98bd082511f1d6a26d748fb127a28032,2022-10,Bedfordshire Police,Bedfordshire Police,-0.469231,52.141224,On or near Princes Street,E01017502,Bedford 010F,Unable to prosecute suspect
a44233da5e51c6b7a255deed6ef05bf1a80a908436a9385ff6c9756d1f21845e,2022-10,Bedfordshire Police,Bedfordshire Police,-0.517964,51.886850,On or near Kingsbury Court,E01033837,Central Bedfordshire 029G,Unable to prosecute suspect
61609b2af78cf09c09626c92791064765df75ccbe03be4b1a39a5818356bb79a,2022-10,Bedfordshire Police,Bedfordshire Police,,,No location,,,Investigation complete; no suspect identified
0cfa216207b6d3e994a6ab26dbcd016fb53afde1af8dbd3d1a6daa368b737e0b,2022-10,Bedfordshire Police,Bedfordshire Police,-0.407526,51.886981,On or near Jubilee Street,E01015742,Luton 022B,Unable to prosecute suspect
6ec108a237800edfe4f49e210b12b3796bce6a1300239da4895511fdf745e70e,2022-10,Bedfordshire Police,Bedfordshire Police,,,No location,,,Investigation complete; no suspect identified
cc5588405ea6f295b23283ec9fd1527ea8bc39a028562205eabe89456e9c191a,2022-10,Bedfordshire Police,Bedfordshire Police,,,No location,,,Investigation complete; no suspect identified
03983b28f6a57ea8da1d89ced6cc592c31ad8cc5ba85a781a9e5904d194e1d20,2022-10,Bedfordshire Police,Bedfordshire Police,,,No location,,,Investigation complete; no suspect identified
c03d366b0a5d9897ced2afa27d8384955e1b8ac4fc5a8a81fb0ca5061d3bebc6,2022-10,Bedfordshire Police,Bedfordshire Police,-0.482788,52.109516,On or near Polo Field Way,E01017517,Bedford 018E,Investigation complete; no suspect identified
dfa8d270f0f9a57cbc24bb7074ba97982c2b70d93020d96d2e65b122fcb5da74,2022-10,Bedfordshire Police,Bedfordshire Police,-0.471808,52.134244,On or near Heron Quay,E01017466,Bedford 012A,Investigation complete; no suspect identified
7ff09ff5a4d35e87c991c777803f992c96ef83ec75c967dceaae001a5636868f,2022-10,Bedfordshire Police,Bedfordshire Police,-0.414165,51.879571,On or near Parking Area,E01033805,Luton 023C,Investigation complete; no suspect identified
2ba0880ddfbe77ce329109adc89f4086b949b4c83e5ec2f34d87e1fea143cf0d,2022-10,Bedfordshire Police,Bedfordshire Police,-0.494440,52.113037,On or near The Alders,E01017513,Bedford 018A,Investigation complete; no suspect identified
d7552a284a8af25b8243cf295e3b6a8051250b5db749fe5dc2dbe3faa700bd10,2022-10,Bedfordshire Police,Bedfordshire Police,-0.246238,52.074719,On or near Shopping Area,E01017381,Central Bedfordshire 006A,Investigation complete; no suspect identified
26adfed33d4d1dc765077f1994e60de70267b742cc67273b0014d4403bccd3bc,2022-10,Bedfordshire Police,Bedfordshire Police,-0.431853,52.151972,On or near Hadleigh Close,E01017529,Bedford 006A,Investigation complete; no suspect identified
753d0cc030da2cf2a2acd18a7cb51fa53643d876f5f77f9b0c5aa98562c3e1c0,2022-10,Bedfordshire Police,Bedfordshire Police,,,No location,,,Investigation complete; no suspect identified
d810b2c20c1e2e42d59d9951869a44686d743b1c3b5778657c19936881cdb63d,2022-10,Bedfordshire Police,Bedfordshire Police,-0.421921,51.875081,On or near Stanley Walk,E01015735,Luton 020D,Unable to prosecute suspect
5f751eaf71d2c9ee57029cbb69ac8888e6903c3ba8fbba6fd8aa56d9030f27f9,2022-10,Bedfordshire Police,Bedfordshire Police,-0.414487,51.883649,On or near Albion Road,E01033802,Luton 022D,Unable to prosecute suspect
952670ccfe13fd4de9c0bd70ccde571c0f41f4c1652cd1a2405884637a242b99,2022-10,Bedfordshire Police,Bedfordshire Police,,,No location,,,Investigation complete; no suspect identified
dfb7cf422b18a97dc6597a2c5699933d9aae0f1b10ea46598fc013086167f846,2022-10,Bedfordshire Police,Bedfordshire Police,-0.246238,52.074719,On or near Shopping Area,E01017381,Central Bedfordshire 006A,Investigation complete; no suspect identified
8ef5eeac11b44157352e7eef04e5f85b652cb736329de9cbf9cb9634423d9ea3,2022-10,Bedfordshire Police,Bedfordshire Police,,,No location,,,Unable to prosecute suspect
2401383d1ef22ffc7d212dee2c841be3f5a20f757d4f44d2a80630f7c397b817,2022-10,Bedfordshire Police,Bedfordshire Police,-0.459386,51.890396,On or near Leicester Close,E01015715,Luton 011C,Investigation complete; no suspect identified
eb0f8d0ceb0578b66f0bd9fc6eb4c4a335f2771172b14272c7baf07de0939973,2022-10,Bedfordshire Police,Bedfordshire Police,,,No location,,,Investigation complete; no suspect identified
d6328af58330bc05a9c8bd9a786b1dbb5bff38bd0ffb90ef75fdbd5b55d0bc2f,2022-10,Bedfordshire Police,Bedfordshire Police,-0.451500,51.892369,On or near Petrol Station,E01015787,Luton 015D,Investigation complete; no suspect identified
3a167b4da4b2310c6a2ab8e3b308288322629acc485fdbb7a8b193812fbd9d92,2022-10,Bedfordshire Police,Bedfordshire Police,-0.426986,51.896450,On or near A5228,E01015700,Luton 010A,Unable to prosecute suspect
d5dda4f26a27bb9c40800ff0f33bd057a57832022c67290c7a0c6429b6aa73f0,2022-10,Bedfordshire Police,Bedfordshire Police,-0.594792,52.034262,On or near Ridgway Road,E01033814,Central Bedfordshire 007H,Unable to prosecute suspect
405e9b8480f661e928634eff577f5560dd63ec9364b31ffedde95676229f7944,2022-10,Bedfordshire Police,Bedfordshire Police,,,No location,,,Investigation complete; no suspect identified
0bb3b5a49ff6858650cf3e250cbf94648b0d7cb30d33f051db2c904f1407f109,2022-10,Bedfordshire Police,Bedfordshire Police,-0.452675,51.883123,On or near Warren Road,E01015728,Luton 019B,Unable to prosecute suspect
09788f403b2e7a20a9d5664c78cd344f8c5e4428879c76b45ed3b383afb4c285,2022-10,Bedfordshire Police,Bedfordshire Police,-0.458957,52.215726,On or near Glebe Close,E01017478,Bedford 003A,Further action is not in the public interest
a7697b98d0c4b97e3caa449aad8b4db28f1110c915db6610fe0dd8da80ef8509,2022-10,Bedfordshire Police,Bedfordshire Police,-0.300234,52.200086,On or near Park/Open Space,E01017542,Bedford 004D,Unable to prosecute suspect
2822c85651d70a8822a68ee630dfb66a43bc53417908c24ec4952866e3718f67,2022-10,Bedfordshire Police,Bedfordshire Police,,,No location,,,Investigation complete; no suspect identified
8ac9e42dfd74c19d632b7d105307c0307aac726aeb8d09c5d8b0c77abbb95b46,2022-10,Bedfordshire Police,Bedfordshire Police,-0.493348,52.109480,On or near Lyon Close,E01034423,Bedford 018G,Unable to prosecute suspect
1803f11ddf6487a1bb176a79931f20be205577a6b967616921f6d366a45646fc,2022-10,Bedfordshire Police,Bedfordshire Police,-0.379717,51.898587,On or near Roedean Close,E01015812,Luton 008E,Unable to prosecute suspect
f6c88321a0cc9a2a1babfe8eefa2201c26beaadde4c66edb2a520128e6cb8e1d,2022-10,Bedfordshire Police,Bedfordshire Police,-0.303950,52.037340,On or near Lime Tree Road,E01017392,Central Bedfordshire 013B,Investigation complete; no suspect identified
a53e5a0abbb8da052a33f0b05824cbc9ed1c9f427e6128d53e8d8bbd66b5c8a0,2022-10,Bedfordshire Police,Bedfordshire Police,-0.334587,52.038784,On or near Duck Lane,E01017437,Central Bedfordshire 011A,Investigation complete; no suspect identified
29cda9f6f1877415f19fd735cf9fb472ace9f4d53d658afdd5f94f0596bf00b9,2022-10,Bedfordshire Police,Bedfordshire Police,-0.291417,52.128531,On or near Albion Court,E01017431,Central Bedfordshire 002B,Investigation complete; no suspect identified
7fc8d921559f74a3c7b2ac309662acd55ee263e270184a3f0dd7e5b407c520e3,2022-10,Bedfordshire Police,Bedfordshire Police,-0.426652,52.152721,On or near Carrick Road,E01017492,Bedford 007E,Investigation complete; no suspect identified
708942c51c53d15dc4bc2ac042d89365d461946817b70ac7e3c77ac77fd6a9de,2022-10,Bedfordshire Police,Bedfordshire Police,,,No location,,,Investigation complete; no suspect identified
264867388cdc11248d4ae201accaa9540612f663a42728a4aed17ecd6f672ef3,2022-10,Bedfordshire Police,Bedfordshire Police,-0.469721,52.123958,On or near Mabel Road,E01017474,Bedford 015C,Investigation complete; no suspect identified
288dc804d53505862e7f5a30cba9bb6ad4f1faf28765bd7acfeb0fb8cf9b60b1,2022-10,Bedfordshire Police,Bedfordshire Police,,,No location,,,Unable to prosecute suspect
bc8ef767a5e70d5c3acce4117209a7dca9acafcba4fb6980a63b8d5542aeb982,2022-10,Bedfordshire Police,Bedfordshire Police,-0.465063,52.125165,On or near Firbank Road,E01017472,Bedford 015A,Investigation complete; no suspect identified
06754b724b5b14f7ba7d06b87bf43fb8e75431fa9f5a844324757c019dd7e5c1,2022-10,Bedfordshire Police,Bedfordshire Police,-0.281895,52.122378,On or near Supermarket,E01017431,Central Bedfordshire 002B,Investigation complete; no suspect identified
8027be98bd6e9a03e193fcf61d2d9cc4e8c9f90c23135e6d5efc92994581aa90,2022-10,Bedfordshire Police,Bedfordshire Police,-0.417059,51.881571,On or near Bridge Street,E01033803,Luton 023A,Suspect charged
8027be98bd6e9a03e193fcf61d2d9cc4e8c9f90c23135e6d5efc92994581aa90,2022-10,Bedfordshire Police,Bedfordshire Police,-0.417059,51.881571,On or near Bridge Street,E01033803,Luton 023A,Suspect charged
8027be98bd6e9a03e193fcf61d2d9cc4e8c9f90c23135e6d5efc92994581aa90,2022-10,Bedfordshire Police,Bedfordshire Police,-0.417059,51.881571,On or near Bridge Street,E01033803,Luton 023A,Suspect charged
62251aa812f1b813079f429c61d6ddd474872926d2ba3c6fbe158e434b3b5e8a,2022-10,Bedfordshire Police,Bedfordshire Police,-0.518125,51.891222,On or near Hazel Mead,E01033836,Central Bedfordshire 029F,Unable to prosecute suspect
43ae2527b97568d3685a3369a9762a0f0a128095b20affdf7005b63cb2aa37d0,2022-10,Bedfordshire Police,Bedfordshire Police,-0.432131,52.145286,On or near Cricket Close,E01017491,Bedford 007D,Investigation complete; no suspect identified
6c969ebb544573a8fa0c67e2141d04b52250fd8ff9044076aae158b861a36154,2022-10,Bedfordshire Police,Bedfordshire Police,-0.516210,51.908785,On or near The Quadrant,E01017617,Central Bedfordshire 026E,Unable to prosecute suspect
cdafe8f84e1a0795d36e1e1aee3de26978d175f2092535d113e4dbf031c1c5c9,2022-10,Bedfordshire Police,Bedfordshire Police,-0.521636,51.855209,On or near Park/Open Space,E01017586,Central Bedfordshire 032C,Investigation complete; no suspect identified
34378ca4fad738bc87f738fb8953a2c548e7d1edaddb067860ba80d3aae67019,2022-10,Bedfordshire Police,Bedfordshire Police,,,No location,,,Investigation complete; no suspect identified
c393bcdd31f2f79150310eb1f834a927c0435476374ad49b2daa715893947868,2022-10,Bedfordshire Police,Bedfordshire Police,,,No location,,,Investigation complete; no suspect identified
582a8bc11056fa5cae04e4c1684e94f948064d1cf742ef32853b3a1ad92e46b7,2022-10,Bedfordshire Police,Bedfordshire Police,,,No location,,,Unable to prosecute suspect
f691f27246c259d5057435dc7a6e8fbdabff58391380e7705e241a34f4536cde,2022-10,Bedfordshire Police,Bedfordshire Police,,,No location,,,Unable to prosecute suspect
2f014569cbe5cdf7f6765789ed0b55c5cca486f3af2d94a20356128c63c74f10,2022-10,Bedfordshire Police,Bedfordshire Police,,,No location,,,Unable to prosecute suspect
fb4d5497ef62612b73a9586e88dda7417673099a888aecc049aa582618badf0c,2022-10,Bedfordshire Police,Bedfordshire Police,,,No location,,,Unable to prosecute suspect
02f9cb0889b4f1a37049c57ce9f6b337814b42bcb11144dd7797af8845794c97,2022-10,Bedfordshire Police,Bedfordshire Police,,,No location,,,Unable to prosecute suspect
f35cdc34fb3e4d365b2c28fbf5841a1537bfa54d25c4e09cec850ae6f3b429e8,2022-10,Bedfordshire Police,Bedfordshire Police,,,No location,,,Investigation complete; no suspect identified
ae79470f4d3063fa5b1df1f27d2f8b471ddbe034b520e996d4aabe5267322510,2022-10,Bedfordshire Police,Bedfordshire Police,,,No location,,,Investigation complete; no suspect identified
c13e11c21d9331b3c8592ef3cd1b87547b3f206d3915870e394f0815f0651cd4,2022-10,Bedfordshire Police,Bedfordshire Police,,,No location,,,Investigation complete; no suspect identified
c1d3d867a08afd8e88339d594103ff0d9bfd2b3e9309ff31b958fc05975d32a2,2022-10,Bedfordshire Police,Bedfordshire Police,-0.262097,52.086436,On or near Victoria Place,E01017385,Central Bedfordshire 005C,Unable to prosecute suspect
2417ba756ee9ec30443ff0427244c28dad1a440034828a40880c05f6a8a35200,2022-10,Bedfordshire Police,Bedfordshire Police,-0.469089,52.137284,On or near Paradine Court,E01017466,Bedford 012A,Investigation complete; no suspect identified
1ba94bc3fe33b6742959c6ba9047c2aeb9b0a9f9bdf41121da97409da07dff50,2022-10,Bedfordshire Police,Bedfordshire Police,-0.666231,51.903320,On or near Shopping Area,E01033828,Central Bedfordshire 024H,Investigation complete; no suspect identified
9848b483de55c14f3244faf768ee8795b23c60faf02174ed615b99f10fa79ba8,2022-10,Bedfordshire Police,Bedfordshire Police,-0.417792,51.873937,On or near Parking Area,E01015738,Luton 021A,Local resolution
799635aaf06cc4de1e014cb11241a2a84df1dba168699d85c6f2f7383579cc79,2022-10,Bedfordshire Police,Bedfordshire Police,-0.471957,52.144855,On or near Stanley Street,E01017497,Bedford 010A,Unable to prosecute suspect
f61ba2c6254b6fa33036e43189dd251890b5c0a63b51f1383452b0fd63f3690e,2022-10,Bedfordshire Police,Bedfordshire Police,-0.246238,52.074719,On or near Shopping Area,E01017381,Central Bedfordshire 006A,Investigation complete; no suspect identified
df8843dbfc234281318d2c2c6a23e0af4909d4eca16859441e97ef1aa7f4ad61,2022-10,Bedfordshire Police,Bedfordshire Police,-0.610785,52.016811,On or near Bedford Road,E01017379,Central Bedfordshire 007A,Investigation complete; no suspect identified
4315266dbf3e10f2c3b0ba938378be01eacb7394657da6f26a2da1e2d946181b,2022-10,Bedfordshire Police,Bedfordshire Police,-0.434138,51.879272,On or near Mulberry Close,E01015730,Luton 019D,Unable to prosecute suspect
1466757551345b9a96e6261c64f01defc72afc6fd4bfe33eaccc64ba8bb7d041,2022-10,Bedfordshire Police,Bedfordshire Police,-0.399977,51.873274,On or near B653,E01015790,Luton 021B,Investigation complete; no suspect identified
95f979d32d6002826285198529061d3fc7b00dac62817c61ed12a8154baedfdb,2022-10,Bedfordshire Police,Bedfordshire Police,-0.498351,51.849900,On or near Sports/Recreation Area,E01017586,Central Bedfordshire 032C,Investigation complete; no suspect identified
680ca664b49c3f6887d50f9daeb69a8bc3877052c2771f5825ba1e259968e5b1,2022-10,Bedfordshire Police,Bedfordshire Police,-0.668101,51.916581,On or near Town Bridge Mill,E01017557,Central Bedfordshire 021C,Investigation complete; no suspect identified
3bcc712c4a2e7dcef65a95b43990965c47c2c214f39cfff77d1cfc6a65838721,2022-10,Bedfordshire Police,Bedfordshire Police,-0.610785,52.016811,On or near Bedford Road,E01017379,Central Bedfordshire 007A,Investigation complete; no suspect identified
caceb7847ff796f8eea6f9f2acd88c4621163bd7b2a5dbe9eb81e82572b0d32a,2022-10,Bedfordshire Police,Bedfordshire Police,-0.516841,51.882987,On or near Petrol Station,E01017623,Central Bedfordshire 031A,Investigation complete; no suspect identified
de56acf46ab53a8f60d52992e5452b06ff526ebf38e5659ea7b5ea7b04e273e3,2022-10,Bedfordshire Police,Bedfordshire Police,-0.296629,52.039689,On or near Bilberry Road,E01017391,Central Bedfordshire 013A,Investigation complete; no suspect identified
8e7d269a6b704089eda375565cdf0bb5f818c96e206559aea8a93cdd54f0a70f,2022-10,Bedfordshire Police,Bedfordshire Police,-0.461786,51.886920,On or near Cosgrove Way,E01015728,Luton 019B,Investigation complete; no suspect identified
317fc714b993e5f489fac46fe6e513d21eff72549da13551555de91f9528e1ab,2022-10,Bedfordshire Police,Bedfordshire Police,-0.518038,51.902694,On or near Clarkes Way,E01017581,Central Bedfordshire 026D,Investigation complete; no suspect identified
