Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3ac4f2876da5e51b7c6e656ec692c1d38c697e8e0d6882d08c35fabf13868de8,2022-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
dd8a8b1c6ff5b6b1d8851d4850e678b18fe93e93edecb4fda7f16f94ff0eb598,2022-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
65da2ec0ba8c356820161849329f389bb9ba0afe5ddcec8a69716d3317cdad12,2022-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
273b99454fcc05f17cbe68d1357bc53d87079f63fa6a8d78110164a3112aef23,2022-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
e896b98d87b614a3b1aaa17d88f9f29c75b83293709512572185a11ae0ffb36f,2022-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
26e028d636def9eef3ebb5238be0ce663f35caa051db4ee571dffd6d745318ca,2022-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
26250510916dac95d6d0c4b0d489bba808d7ea29ddf23ac1672bcf4151f1cd60,2022-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
722b6e06a2dc5f051ee8ec89fd39bc4ea231262538ebff18afb865f76da85fad,2022-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
bff97c235ab0203955ae74d66fcb47ee5ce28d471a16a64e53596bb966c26cb7,2022-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
40d00027c6daca4fef343ad7802a436598877bc39f516157c3504205965e455d,2022-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
cc73628d49982ead05474397b1cd1a2269423fc61da5bd177e7ea5fa4d162bac,2022-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
c5945b4c0c8813aa91c481eee7fd66fe12d84576a3bf210056c27d4071108a9c,2022-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
5bf5e81c2f283a6a8b2dde55a5c4c15afefc49bca16e510f2d22c20fc9b0c575,2022-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
81b4237c93f9c9a04982721167b99fc14a285a7e585b4934c4e705e4115c6e9b,2022-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
b02054c6d28677591e56668472fb8f28e601f7c50b5bbf706f50fc89c55626d8,2022-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
6682561d4b0011d965ef11453356236f72a281cf0d3ee728482d52a7582ef7ab,2022-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
2592d1b56f95eac4bdff3cf441a984236a1355062f232204049524ce8d7c0e22,2022-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
199aee09c91871bd92ec63091fca8d7871b850bb3b90810723db13c7ef1e0d39,2022-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
c6b83d988af75b70a16bce0ba692e0d0feaba4554200e4dc688cace4482edf5e,2022-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.239863,52.593707,On or near Mayfield Road,E01015651,Peterborough 012B,Investigation complete; no suspect identified
