Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7f9019414feb0c10633c882a3fb01fb5eb8041d32a99a0a6ba68437afa4d7841,2022-10,Cumbria Constabulary,Cumbria Constabulary,-3.132209,54.106617,On or near Long Lane,E01019380,South Lakeland 014C,Investigation complete; no suspect identified
610200b5250ec73db1ce84ae6d2d02961503c4582353fff050f358971c125c96,2022-10,Cumbria Constabulary,Cumbria Constabulary,-2.880743,54.874138,On or near Axson Drive,E01019213,Carlisle 013B,Investigation complete; no suspect identified
565ba21b84c8df9ffa78144bc3d97e42e1555f0eca8cc35afff9925639bb510c,2022-10,Cumbria Constabulary,Cumbria Constabulary,-3.225897,54.114543,On or near ,E01019157,Barrow-in-Furness 008D,Suspect charged
bea4bd25c72caddd4e1f52c4962b69aa2943dcb6d0c9a9808bdf923d8b4fa62c,2022-10,Cumbria Constabulary,Cumbria Constabulary,-2.928876,54.877922,On or near Ridley Road,E01019209,Carlisle 010A,Suspect charged
a3dc688b5b0ca78781a779b36f2032ef436181d421edd44524340179d893f060,2022-10,Cumbria Constabulary,Cumbria Constabulary,-3.207560,54.111070,On or near Cambridge Street,E01019172,Barrow-in-Furness 007C,Suspect charged
e943142ce06d731cc2b02a99f9b6246a082c002d7bc6185c26a336a47e09a842,2022-10,Cumbria Constabulary,Cumbria Constabulary,-2.931870,54.895522,On or near Albert Street,E01019206,Carlisle 006B,Suspect charged
7be21a5b8c4ab3208fb44c397d0f2dc893585213a088ee4467528d684d2767c2,2022-10,Cumbria Constabulary,Cumbria Constabulary,-3.225897,54.114543,On or near ,E01019157,Barrow-in-Furness 008D,Suspect charged
564bd3c52831c236dfe9f466f5ac1795a4f618d59314d0f66d211a17038d6311,2022-10,Cumbria Constabulary,Cumbria Constabulary,-3.208370,54.136804,On or near ,E01019155,Barrow-in-Furness 003D,Suspect charged
a9b0f932611753924938a18e4c00c6a6d7661fad0e334d8afb4bc364f642fa63,2022-10,Cumbria Constabulary,Cumbria Constabulary,-3.499164,54.715048,On or near High Street,E01019114,Allerdale 004D,Suspect charged
f76bc919a0476aad5f4e5f21ba93dabdba0c1cd88dd71bc5ad986eec4825e984,2022-10,Cumbria Constabulary,Cumbria Constabulary,-3.183424,54.113826,On or near Overbeck Drive,E01019178,Barrow-in-Furness 006D,Suspect charged
c61fbbe832b5a80f7deeaab7584f4889c4e16ddb8f7b461fcda0670a7a49daf6,2022-10,Cumbria Constabulary,Cumbria Constabulary,-3.495112,54.715889,On or near Church Street,E01019114,Allerdale 004D,Suspect charged
