Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9278bdd843f6600e270c0e257c52e421290017776d22d6280af435b76e8c4583,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.299682,52.884690,On or near Duffield Close,E01019699,Erewash 015B,Investigation complete; no suspect identified
56b871d2579fedc45e3eafb51e0c601d8cf3bb6de703bc66b34edd9686cb6c94,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.333355,53.137357,On or near ,E01019521,Bolsover 008D,Investigation complete; no suspect identified
9b7928439ca95bf01a42a9b5e5dd7f9b743cd599021081f509a9d6fee876697f,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.438454,52.900844,On or near Murray Street,E01013477,Derby 025D,Unable to prosecute suspect
1e5a7f9d13495f7f7b30abe506cb44ad0a86e90701db2a8d7655289fc0c29759,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.305057,53.230044,On or near Villas Road,E01019488,Bolsover 004D,Investigation complete; no suspect identified
5222e59d65482b391a9ec1c200df832d4014a271fcdd522d245d36dc01db456a,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.355949,53.308668,On or near ,E01019791,North East Derbyshire 014A,Investigation complete; no suspect identified
56025bbe153ded545dcd280a554841a530f6250f7555ab023cca38129d8e86e8,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.397135,53.086306,On or near ,E01019473,Amber Valley 004C,Investigation complete; no suspect identified
57fd1946166dfbbf01f3663cf4e2bfa5efd77c0174ade83962f33dee372a5e95,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.502844,52.910920,On or near Louvain Road,E01013458,Derby 017B,Investigation complete; no suspect identified
3ea24b01fdd0be5de143272f247ff5c94b2eb41a64f1365d36124a4b9bea35b2,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.387514,53.080423,On or near Azalea Avenue,E01019474,Amber Valley 004D,Investigation complete; no suspect identified
25c29ff8137fa26d12f74e2529671e213f6209e1ec1e655dfed0cb09345a77f0,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.557899,52.785968,On or near Acacia Avenue,E01019858,South Derbyshire 007D,Unable to prosecute suspect
6193c06fa3fb9bc4d08c864eace923cf5f5b557e1150265251dce6c9203c2436,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.313103,53.316950,On or near Briars Close,E01019805,North East Derbyshire 001E,Investigation complete; no suspect identified
db5417bdb05c0221779c7f328972dffce06ee7a7b7f35ef5f08ecbec62b3b2e7,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.294678,52.970483,On or near Monks Close,E01019660,Erewash 003B,Investigation complete; no suspect identified
692b5af7ea591a75abc210600bef7c078bf7f5dd4eca5b11d135fddf0ea43559,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.424758,53.170167,On or near Woodside Place,E01019775,North East Derbyshire 012B,Unable to prosecute suspect
eb84bc63ee65792872ff35a3a49a63aa63675b262005fc8050dd6b065c5b16ca,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.351311,53.099432,On or near George Street,E01019519,Bolsover 009E,Investigation complete; no suspect identified
a1c227ed33864fbe25e63ce3dbf2a0f8ea7ca238ab43023ef23195694f68a31a,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.496041,52.879572,On or near Applecross Court,E01013586,Derby 029C,Unable to prosecute suspect
403cb53fee3d34d3dd809f1aa3cab84d9631b741cb0d41d77cc082e606800999,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.497137,52.924847,On or near Handford Street,E01013551,Derby 011C,Investigation complete; no suspect identified
59e6f452fb152c6317a2e4491a0116661220abeb3cfbfc8c6711b9466247fa84,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.424758,53.170167,On or near Woodside Place,E01019775,North East Derbyshire 012B,Unable to prosecute suspect
1c6e83a10cc609eaab80b0cba02c9a1ba655d2b0ab14694a856e41a18a60b587,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.450600,52.906725,On or near Gloster Street,E01033171,Derby 024E,Unable to prosecute suspect
3e58df18fc6cfe05d6c56a84e82adc6ce2cd814ab1f5c889895a4f8fae74100c,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.478505,53.082636,On or near Surgery Lane,E01019423,Amber Valley 002B,Unable to prosecute suspect
382983fadc286bc977455c47d00d54cc1dcb13c070a023987001af4b9944b399,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.351372,52.991957,On or near Shipley Lane,E01032613,Amber Valley 017E,Unable to prosecute suspect
3ca15942c1aa1c4058e4e4b5cce2c5de1ad4e1ef1f44c820ab99ee497cee5254,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.429143,53.250029,On or near Flamsteed Crescent,E01019580,Chesterfield 007D,Unable to prosecute suspect
d0536f430cabfd57a99271ac4bdfbba94f392a25266d5a6e617d64e858fa0a53,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.325788,53.098401,On or near ,E01019501,Bolsover 010C,Investigation complete; no suspect identified
1b196a5516f66a525718892b76bb1782e6e81d42b27b08686732c6a19fa91dda,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.269899,53.280181,On or near New Barlborough Close,E01019491,Bolsover 001C,Investigation complete; no suspect identified
a4aa9e09db97b17da11f21fd16eaf9ddd93805964e1844737bb2d9b444ebc562,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.418268,53.254048,On or near ,E01019533,Chesterfield 005B,Investigation complete; no suspect identified
4d3f9b08eca408772e20fef5163c8880c6979ba9dd75746836dcbd5d24e00d59,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.418268,53.254048,On or near ,E01019533,Chesterfield 005B,Investigation complete; no suspect identified
56309adaa7540b695601a56545b50324f0dcbf816c140132022ee8918bf07770,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.477005,52.920410,On or near St Peter's Churchyard,E01013479,Derby 013F,Investigation complete; no suspect identified
92127eccf26072f4f6cc68600831cef2356690859e1920049ad06797089c869f,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.437125,53.236790,On or near Foljambe Road,E01019538,Chesterfield 010A,Investigation complete; no suspect identified
f80015e341cc7533de1bb8141771f44ad94bca663e50398e218eaaa026d56d94,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.509916,52.902274,On or near Fernwood Close,E01013546,Derby 017D,Investigation complete; no suspect identified
ec790fdf03c7966499e994f8c08b5947580e94ed17ff236c80c8c4050c1f3d73,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.217368,53.260054,On or near ,E01019498,Bolsover 003C,Investigation complete; no suspect identified
9e449f076a5b76edf0e10146cc8ea844a86e51e112dd31a824e40762dfbca1d0,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.292679,52.923222,On or near Brooke Street,E01019693,Erewash 008D,Investigation complete; no suspect identified
c079c7ffe2407a251d1b085a6e8553908d7efa9e83d95ae6ac61bb617463fd5b,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.904159,53.238196,On or near Harris Road,E01019726,High Peak 012C,Investigation complete; no suspect identified
8543ad56353d828310722bccd7ef48a2e62def5cd2594b5d11b8280b414331c6,2022-10,Derbyshire Constabulary,Derbyshire Constabulary,-1.476460,52.906438,On or near Yates Street,E01013484,Derby 018C,Investigation complete; no suspect identified
