Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
57f889b86f22acff6545d3efc71ae1236f0ad95775f65f5d6270bbb40c278c60,2022-10,Dorset Police,Dorset Police,-1.838316,50.728533,On or near A35,E01015277,Bournemouth 016E,Investigation complete; no suspect identified
6cef5912d297ba9f9ddae6b848fee0fa48340f6d0ad2cac1aad1deb03754e672,2022-10,Dorset Police,Dorset Police,-1.880374,50.881835,On or near ,E01020414,East Dorset 003D,Investigation complete; no suspect identified
e7f292c248ece086a3b79067388f23d8b822ca7b7f9704b54cc1740fc9c900be,2022-10,Dorset Police,Dorset Police,,,No location,,,Suspect charged
bfe7c81f091dd174e42ffea6f8fc7bd4bd2ebbb2786f69a0a16d6a4e1b8c38d0,2022-10,Dorset Police,Dorset Police,,,No location,,,Suspect charged
1155eb1735c29efe3d39a160dc0eb8a233c546480abaa042a75d42a8285866ad,2022-10,Dorset Police,Dorset Police,-2.274998,51.037552,On or near High Street,E01020443,North Dorset 001A,Unable to prosecute suspect
02a26068ff356e33f9343c9f989a632aa5222cd1e2f1bae16dec3c2824675e0b,2022-10,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
ebd1b231cbb4ea8538aa71a4d873dbac1e162463dd45819126a8d632c7c97952,2022-10,Dorset Police,Dorset Police,-1.985670,50.715821,On or near Dear Hay Lane,E01032659,Poole 015F,Unable to prosecute suspect
a3a6a0d8d96c6674ca2cee352e8f521731ce47b93983b9831be45620e80f43a9,2022-10,Dorset Police,Dorset Police,-1.927842,50.805195,On or near Chestnut Grove,E01020408,East Dorset 009E,Unable to prosecute suspect
08153c85ab2091ba0465f38ca6512115a3bc4914af59d0648173be381a8abe8f,2022-10,Dorset Police,Dorset Police,-2.254435,50.894981,On or near Lanchards Lane,E01020444,North Dorset 005A,Unable to prosecute suspect
77d6f03366e9e77aa0d687965b9494938ae3db8530ca71796e97ea4d3c7ba416,2022-10,Dorset Police,Dorset Police,-1.936498,50.721119,On or near Alipore Close,E01015464,Poole 013F,Unable to prosecute suspect
46b3eacfa2f6314ac0d9dbeba4bfa0ba90ab4352af15edf0ab68e84927b2cf34,2022-10,Dorset Police,Dorset Police,-1.815028,50.723795,On or near Grand Avenue,E01015366,Bournemouth 018E,Unable to prosecute suspect
a69277d929d1e04062e6b58e0a862e7369cdbf5e412bd8c13400047072089631,2022-10,Dorset Police,Dorset Police,-1.819134,50.728136,On or near Hosker Road,E01015274,Bournemouth 018A,Unable to prosecute suspect
aa18a7f57d69705d7ab339e5ebf6ffb67da75ef2aa15b16431c6612075b6c772,2022-10,Dorset Police,Dorset Police,-1.931056,50.741916,On or near Turbary Close,E01015384,Poole 007E,Unable to prosecute suspect
05980de3d11f8e08d12359c604c250b65c239f4277c553cd365556638129bcf7,2022-10,Dorset Police,Dorset Police,-1.827458,50.753185,On or near Tyrrell Gardens,E01015341,Bournemouth 008D,Unable to prosecute suspect
9dff6e334226f549a6f549d6210a7ec4e229de65f89fa4ff09c9a4ef679be52a,2022-10,Dorset Police,Dorset Police,-2.483142,50.600305,On or near Overlands Road,E01020589,Weymouth and Portland 007D,Unable to prosecute suspect
736398e5b6ad6f15f96984602b670f35a71f949f7b709a4203d932dd5fd9df26,2022-10,Dorset Police,Dorset Police,-1.922696,50.767261,On or near Fulwood Avenue,E01015311,Bournemouth 002D,Unable to prosecute suspect
e92184e1e0087a80edf083f5669b7dc72c47ce630fe97d20eb6839e116092715,2022-10,Dorset Police,Dorset Police,-2.267709,51.032488,On or near Lodden View,E01020443,North Dorset 001A,Unable to prosecute suspect
