Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c9035df5026f79eb467b945199da319a24fbbbb965630cbaa448b386d3ae3d43,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Action to be taken by another organisation
594fec9d011a0b711c199a06579a3c5c584f3a2d2a06664be58b228a8bcd9bb8,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Further investigation is not in the public interest
ec8877d11946a38a3f881a717f9d6051fd2093286985a1abcdb6b88b94320416,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
0e8fff425dd521d46127344694a2a7730477e6ed2cacf4f5314f83b8d1ad9716,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
6b903084002dcaff48e727efe662f8cfc9ef317a178d181bb4817372190037a3,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
42504597581c8726fe3309251fcd94108d8f33d18f61c007e1c6db665ea66e0f,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Investigation complete; no suspect identified
a67352023617ff3fc7ad8249a56ccebb6ab91785fdc3f9875ec09989d877cb6d,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
175bdab3fdc035789a5f532072b106a3c2472c575cc50a6fc8118cfae83a5455,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Local resolution
326885b2231e88ba31de2429fb1bd8e09ba2444d49ff83ed38c9c2c6fb86dc0d,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
72e5e44e1b1a921d7a8dbed925105979b55479d246f5346c0063087d4a60b140,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
fbc2eb3ea6c2369a42db8b0bc6f554c87b95aceb2c047e1fef724ea28c1701b0,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,-4.081506,52.415803,On or near Rhodfa'r Gogledd,W01000513,Ceredigion 002B,Unable to prosecute suspect
1932bc96f1540827d01a2970d376873d44742d0082ebf122f39b8989dc5b4033,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Suspect charged
18b4135d460b1940f7282a6b9f71c999f67d670973768d12a96a688e8fba511b,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Local resolution
35f590a0fd20d2754d87a9d32f5957c65eee0af41282ee76a44ba5129828673c,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Local resolution
382faa19e51125a14eba7333bca9e6dd7b5d7011713e8656ad3b3115fc1fbcfd,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Local resolution
46ff7cfd32cc4773a0941dc3742e0ff5234daf2aa36a9bf13230d760ea485f62,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Offender given a caution
d6edf0e9e7f1a6c4d8bbd6755b56889bba2eb8b19a31ee74bec13c123c530a4d,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Suspect charged
9003411740c1d3c465555c339b60577099f694706d02674def45d23af3cf1097,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,-4.634727,51.761681,On or near ,W01000553,Pembrokeshire 011A,Unable to prosecute suspect
6def2a03977b6c04e9a45edfb913216f1455ac7d1e1625bbb0d55c7cc1e0e1de,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,-4.469699,52.036419,On or near Porth Street,W01000646,Carmarthenshire 003A,Investigation complete; no suspect identified
f875654a90a1690541d49e0b8c3c9d6dd90e96059673a83fe153cef77234bcd1,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,-4.634727,51.761681,On or near ,W01000553,Pembrokeshire 011A,Unable to prosecute suspect
a042a758c69e11123b0a75e27aeadf208ea8a04ee973dc2f6592ce2ab957e5d1,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,-4.994689,51.759129,On or near ,W01000575,Pembrokeshire 008C,Investigation complete; no suspect identified
1784346a107a2d9007fd65d339da49b75e8abf5db46752e29255668fb1850f54,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,-4.469699,52.036419,On or near Porth Street,W01000646,Carmarthenshire 003A,Investigation complete; no suspect identified
55cb3e709c2d595cd959af04c6424e2aaa087ba85e5c512620c4a334ff8a4b1d,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,-5.033686,51.722112,On or near Howarth Close,W01000594,Pembrokeshire 012E,Unable to prosecute suspect
71119a04edf9cca30367bb72099981c1008fff17733f29f77370ebc53a0eb03e,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,-4.075409,52.117276,On or near Maesyfelin,W01000528,Ceredigion 008B,Investigation complete; no suspect identified
657f27e9e8e4340124e8931fd0c8b32884d6d4735d39cbb2855ef8e3c889e012,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,-4.075409,52.117276,On or near Maesyfelin,W01000528,Ceredigion 008B,Investigation complete; no suspect identified
4df1fb989b8eda64f91cf423da9ed02e7297727544c74344f9c841625cc295d9,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.140982,52.663254,On or near Gungrog Road,W01000499,Powys 003B,Investigation complete; no suspect identified
11b3372e87d55b6d1e6ec8d763ed33b263216a99bfa55aeca6de0cd2ed593b98,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,-4.177931,51.686714,On or near Clos Bowen,W01000667,Carmarthenshire 023C,Unable to prosecute suspect
e8fcb05f015217ff0bf69ca8adf30cfaab83e5ed8fbcd2d125c36c0b01e34026,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.753339,51.781953,On or near Lluest,W01000504,Powys 021D,Unable to prosecute suspect
02852dc302bd0bd1ab26fb7728aa84ebdd64c8d668166fc26d057fbc60b3fe05,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.753339,51.781953,On or near Lluest,W01000504,Powys 021D,Unable to prosecute suspect
f4bbfe16cf0f9d320716dfa92bfc99fa7f50ad668b744d52ada9e482039d1789,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,-4.946696,51.705396,On or near Picton Road,W01000598,Pembrokeshire 009C,Investigation complete; no suspect identified
345550e5bc50db37dfc7fb10f2f40b17a7caf031209c2b73ce787445f8f23e43,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.320203,52.511306,On or near Parklands,W01000479,Powys 009B,Local resolution
c22dc4b0f172dbd39b6add71d496caa461bc0c861ee95f12ecb6448a516a0580,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,-4.059999,52.416576,On or near Cefnllan,W01000525,Ceredigion 011A,Further investigation is not in the public interest
b0fbc948e88e1bd8e32e3fc80cdad159fc1fb64f7b8702f47b9705423d1536e7,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,-4.076397,52.111198,On or near Bridge Street,W01000527,Ceredigion 008A,Unable to prosecute suspect
54cfb09d49a02a9acfb8afcd341a403b8d10b364dce5bf8106ffd2d95fcdcd23,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,-4.956249,51.692951,On or near ,W01000603,Pembrokeshire 013D,Investigation complete; no suspect identified
21cee3aa424b03fc971468541e9da1961df100e88efa0d0dc3ab678ca1b42d00,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,-4.956249,51.692951,On or near ,W01000603,Pembrokeshire 013D,Investigation complete; no suspect identified
6ac1830ed88f1391a5aed44dff146f75c9b06227d9b0f1d82e686ba977313797,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.871860,51.811462,On or near Bryn Avenue,W01000718,Carmarthenshire 010D,Action to be taken by another organisation
10bf30d7462d03853d0a943bff56e8b40aef76878f07b26122d25aaf86f59e29,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,-4.027374,51.793614,On or near Yr Hafod,W01000725,Carmarthenshire 011D,Unable to prosecute suspect
7fee59c5afba9f025cc10640fe94609d132ce231f68ce7019a1c7f3667be01df,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.331810,52.509702,On or near Lon Derw,W01000479,Powys 009B,Unable to prosecute suspect
d59e0dc544ae631e306170d49a649f46dbd40959be8154766271fb97d06a99d8,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,-3.572762,51.944740,On or near ,W01000474,Powys 020B,Unable to prosecute suspect
a956d9b9176d7e9b582b7421a902e503a764d858ecd77541594d86e54ef4b54f,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,-4.978682,51.996402,On or near ,W01000565,Pembrokeshire 002B,Unable to prosecute suspect
b9bff287b6351b2bcc0e0e823984d1a41d2f048df86d74c03349ed41eca3765e,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,-4.304978,51.857705,On or near Wood's Row,W01000641,Carmarthenshire 008A,Suspect charged
ad4cad7969812e9e2ddb161e269fc72f69f0a67b274518e2d2707d3dd5f0f70e,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,-4.304978,51.857705,On or near Wood's Row,W01000641,Carmarthenshire 008A,Unable to prosecute suspect
233e3ae676ab832b4010bd19dd40df5a89240a01845b40c067bcf419364ef6f3,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,-5.045764,51.713723,On or near St Lawrence Avenue,W01000589,Pembrokeshire 012A,Unable to prosecute suspect
1b5c632fd82febaff37184f1c44282b9d79151b73ebfba70f9f31e6f1f3d841a,2022-10,Dyfed-Powys Police,Dyfed-Powys Police,-4.742719,51.797836,On or near Market Square,W01000595,Pembrokeshire 007C,Suspect charged
