Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
67d674b56f7fe3eb3d453e5500b7d918167b42474e23d8e82893f16e1fd6deb1,2022-10,Essex Police,Essex Police,0.457283,51.571638,On or near ,E01021318,Basildon 015C,Suspect charged
4dc085efef05c0f4d084e8e94ad36e7a650c65177acb36dc428313c001863f2a,2022-10,Essex Police,Essex Police,,,No location,,,Local resolution
3a4533424165d050c0ca9da39cccb56716e4f30a6559957efa5d9952c0edcda0,2022-10,Essex Police,Essex Police,0.713073,51.537391,On or near ,E01015852,Southend-on-Sea 015B,Unable to prosecute suspect
bb2f783ab249e8afe811607f7412186fe1d116f65c2b410f6cb126582a4ba4fd,2022-10,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
d59543c63864221d6041e94aeeffc6f1579200f4668de4615757d47ae1e3ef45,2022-10,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
dff53198dda9a2b33a20ae8fecaee5a376ac29c0e1466bed591bb6030085dd96,2022-10,Essex Police,Essex Police,0.498214,51.585378,On or near ,E01021269,Basildon 012C,Suspect charged
53d4702adeb7c257e40318cb02668c733b9e8e54829918e4a8a3d84b5870da41,2022-10,Essex Police,Essex Police,,,No location,,,Suspect charged
bd3ab569c967757d325fef911b96f0c823cd78ade45916db51399947c43469ce,2022-10,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
a21c283762a96d822dd9257a3b64c17fe0929439820711ba29b16df2be79f7b7,2022-10,Essex Police,Essex Police,,,No location,,,Suspect charged
e633982d62cf28b64768ffb6b333591b35f28993a9b9256110db771f53208361,2022-10,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
77975f7d85b3fe486461aa7a1445f3e0c506ba1848b5db18302af585976e97ee,2022-10,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
89137329cf1637eda55dfb1610794f9b614e86d4814d9808d4b27ec74f1db116,2022-10,Essex Police,Essex Police,0.623816,51.550386,On or near Alma Close,E01021517,Castle Point 005A,Investigation complete; no suspect identified
0f98a23262fc13b0b0907905c2956863150c2373e12441aaf9a31a6c48d028e9,2022-10,Essex Police,Essex Police,1.284886,51.942080,On or near Albert Street,E01021998,Tendring 001B,Unable to prosecute suspect
e6efafad9cb870173290a0934effbbc8b363da719bd951cebb60e3f1401789e8,2022-10,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
10bd5e34626aed0479e88c76d707f29b790673214a080ec428a5ed2ab39eb82a,2022-10,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
192be5057340aa4d93de74124ddf67d5b521a40faa39e4f85e032c53d0f50fb8,2022-10,Essex Police,Essex Police,,,No location,,,Action to be taken by another organisation
edd27501bac5f4d11bc32872791581582ea3db46a2ca0451aa61ac133eb43029,2022-10,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
536111dc747c896750dab25cf38ad7173490a72fbf190b95c4d6736c0af5b0bd,2022-10,Essex Police,Essex Police,0.850872,51.915158,On or near Heathside,E01021728,Colchester 003B,Investigation complete; no suspect identified
886e642659493a9012b738e9405dfa7b7043dfb4feb72813dd1ca0f6511b0c67,2022-10,Essex Police,Essex Police,0.347526,51.636513,On or near Colet Road,E01021451,Brentwood 003D,Action to be taken by another organisation
5bc5cead5fec6a2c820de3e51b95a7810c4849008a17fed8cc2a0417cc5afbe9,2022-10,Essex Police,Essex Police,1.268136,51.937483,On or near Shaftesbury Avenue,E01022000,Tendring 002A,Investigation complete; no suspect identified
e9409132e5b572636f2b62e1852acd1874c1c23e917e1ff55c84c0c8a0d324b8,2022-10,Essex Police,Essex Police,0.279751,51.487198,On or near ,E01016012,Thurrock 015C,Investigation complete; no suspect identified
ef9532da499434b76179a2b5545357053c15b3499bdc73c372d77100db0d7b9a,2022-10,Essex Police,Essex Police,0.681037,51.726911,On or near Queen Street,E01021894,Maldon 005B,Investigation complete; no suspect identified
0a960b19bffef30efd55e54949eed5f6d9f0a047db8597181802b2b863f7e113,2022-10,Essex Police,Essex Police,0.405668,51.534064,On or near ,E01015979,Thurrock 004C,Investigation complete; no suspect identified
b2cffb351e77bd58c409b46fca81484e62d746a27700fbcb26ae0f9f3d1fa63e,2022-10,Essex Police,Essex Police,0.003572,51.683659,On or near Denny Avenue,E01021817,Epping Forest 008E,Investigation complete; no suspect identified
e9049a5b69246cbfb39781ba471ab2f1b7d67c98f97f156f68c59ab7ea2a802f,2022-10,Essex Police,Essex Police,0.908996,51.885273,On or near ,E01021686,Colchester 011D,Investigation complete; no suspect identified
21707a9be663c0af4075a0155f49d4364e6f2f733507ef2a27ca6d80e66d8717,2022-10,Essex Police,Essex Police,0.284562,51.515712,On or near Aire Drive,E01015973,Thurrock 006D,Investigation complete; no suspect identified
7e3ffacb46b48655eec2fbc619d0d14648b91db8309f531ff1926e03fbdbc018,2022-10,Essex Police,Essex Police,0.442227,51.579120,On or near ,E01021279,Basildon 010E,Investigation complete; no suspect identified
529578853d512042f7a3198d7ac59bf2a6e498307918a353bc543e936cd8f2e8,2022-10,Essex Police,Essex Police,0.477719,51.788104,On or near Brook Hill,E01021540,Chelmsford 001C,Investigation complete; no suspect identified
3b3bd4999c6dc18372fab6de2607436f0a29aa726573a343fe30ff9b6cac8e52,2022-10,Essex Police,Essex Police,1.152537,51.792505,On or near Alexandra Road,E01022026,Tendring 016C,Investigation complete; no suspect identified
e3b6dbd7f116f72609aca4ce2d21b1fed901a28178e2c3b41f44ee97206f53bc,2022-10,Essex Police,Essex Police,0.470859,51.583008,On or near Cranes Farm Road,E01021272,Basildon 012E,Investigation complete; no suspect identified
e9a998d89f40c2d13348c5091304348d329df13dc76a322ef94fa2d42cce1743,2022-10,Essex Police,Essex Police,0.714250,51.538273,On or near Chichester Road,E01015852,Southend-on-Sea 015B,Investigation complete; no suspect identified
28eb071eccebe82152287ec4165e18f2eb7053c8eca822b1ab17a8867e9372c8,2022-10,Essex Police,Essex Police,0.633131,51.943514,On or near ,E01021387,Braintree 004A,Investigation complete; no suspect identified
15fc4743352c3611d52e79a98641fab808ddbe3086ff652b3ea96c8c19376be3,2022-10,Essex Police,Essex Police,0.515768,51.840426,On or near ,E01021538,Chelmsford 001A,Investigation complete; no suspect identified
23bffc1e8bdaa2c89a04158550be8c35112a3b78c9d5f827c205cee7c3761ccb,2022-10,Essex Police,Essex Police,0.552185,51.567228,On or near London Road,E01021476,Castle Point 003A,Investigation complete; no suspect identified
