Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2c39b7efd4f185d0511685171847f50d9d8ff79ac2d752180dd29ccdd821f425,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
53f72ddee4a42f169608364123f054b10d9cdc9ff67d5f65493541f7f0d525a3,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
e86da144b50716435f6ed93eccc3e2d5a21de0f5800768df31434b264b0cedc8,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
8556ccb2ede40318a60b61b54d31d290bcf1f296df109a0120a1b7a95115a691,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
b70381ac0bb107896aceecbc6051a2988ad08e111c4879082a017930e9bd16b9,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
8f52d196612b1f5ffabb8b582a7dcf7ecc59fbd2296b911d17c9f8aa712d094a,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
cd57c9b185e6d81d361fad36901e898a8156d9076586bd7ed3681415a7f7b027,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
d272d259a35e1769882ab3515c3b507e4356e170de88df028281cc73984ad34f,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
93ae6c91274420d131c71798c684fef1487a843311b5697d79819f392c5561b0,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Suspect charged
c1de8620dd384acffb9c163d5cf2ef529a1408a43aacf7c336ff6256c9325647,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Further investigation is not in the public interest
3d25cb58fc3a4a634f5d63252019d3233927107e4d0fb85cc39e08e0c86c6bc6,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
1c38336d1ef6057fec34db506f9a8154cf956f7ebbfbcfe60928589fbc3b229f,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
6813a6c06ef33bc83b32320c2356715870bb86736acf31e2559546f9dcf7153d,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
8439b1798ab956b2fd81144b4ddb581a08c29c56610b069e4eaadeb37d4c3b3f,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
850dfd5d86f9011d6c9f7fa5b1fee3a0d838f72ed7f5b11a36356de5b034792d,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
edc3a7dcf3859756c113e2a9b0d5ab0287298e281f48a1ba3f234532d14e6c25,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
f7cde752384c00e79a72f03fbb099dc3402334fe29d0e17bb128a4b83ed21339,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Suspect charged
32f5867812051c07db3f00498f2e8cd28c4761ccc19a2f3bc36e23904ecd59ca,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
8bb81366db704c88000e61e904f342164eada5cb06131d49a17997145a0c51f2,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
6278b5a38e34520ece985f3c634d25712faf0765c80f7bc6ee87ab929f8d8824,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Further investigation is not in the public interest
7f26cc1947bc87262d12e51e6b6659c74989fad2b9a84423cf24de993db5ef1f,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Suspect charged
e8adfba55e65836959a164c110375e7a784687675bb4526bf15237e8fc4f3f2a,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
aa406e6eb001f7f2af3d8fbb23709de46c70c446e723823e86b3a01d41d6917e,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
191176adb78fa06107e79eaf4c9441bca25ca9d5d8a4e7162e3e91806e9fad73,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
378f70f52be905043959e69e1460fa498c3042f6e78c2788e8fba4da83159784,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
eefbb9d12560ac2aabd110bf8f48f5a3466f0d86587897f53681392f4507eeb9,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
8c7bbf9ccc4af65f6641b6421a245e7cc3947913fcbd92b92b339b8b0218d438,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
274534172a59c4f5a5ce05a135d231961fcb841902f096903ca03ae8c0e65548,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
25825c674bce0b7c9efc6823f0c3d7ff9ec0cafd9e721626c0486bec9402d154,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
cece97d014bd5cd8a7d3f9fd81f4d71b3decf449b7d0ad5ae1cb35d7744c49e2,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
ebee74ff14ebc1925a57d839f1949da6af5df84c7b443c213af88a034fc4847c,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
df53ee53db5111072795369250de7d84cd5c853fc8f30f5d1f2f6864eb13cdcd,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
2e55806056ee3e31a4fdd695a8252f36298f100b01ed3f8d4325bdbd7208e74c,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
6c67091a9fd07714a4b00bb98fcc8f756148d977b5368860b95d3105891d9fd1,2022-10,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
