Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8ebaec583a5daca0903d6a19796592d39af2ab1fe9c1131233eb246b94152375,2022-10,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
e6d9083ce537e9f8663f9eaedd09e12a286add5d7adff201555cac8326f9f7b9,2022-10,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
1c719c8ef403aa053f59702e529f6c6a335cb2da6a03d08f9946190ce0768697,2022-10,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
918d8ffd51665c28b482ac0f4a8e588a4991e49a7a404d63f6055a6dfd48fd4e,2022-10,Leicestershire Police,Leicestershire Police,,,No location,,,Local resolution
6632fe79d1cbab84e858bee08f0a88a75a986cd64808a2536f70d12746be56e6,2022-10,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
aaedf08af143ae97de17d1958627f9c855be6d37664533aeac5af38ca23fff5a,2022-10,Leicestershire Police,Leicestershire Police,,,No location,,,Formal action is not in the public interest
41fde975c39cbef774941ed044d4f85aed0b95af4f0593d92173c7f2d3fc5c11,2022-10,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
f38ef0867d706620b7d22b47305a42baee1f553ff7eb741aee13878ce90cb65c,2022-10,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
d72885448f9f6d50e9a5ebf2888b5089ddbe8b139e76290f774d808397b0945a,2022-10,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
fed8d3d5143e2a7f6c8d29f7fb58b003eeeb83962500ac25357164b09a38bbf9,2022-10,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
736f4e228b8894e6058c2ac1e2ff5f2077579777f2bd78cecdcda6c0050e6d64,2022-10,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
3889a2a37b3397039370c1df03d3036c7382b934f73cba251fcc7768adfd62e0,2022-10,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
ad13151282585f067342e559e9486edafa15cead225b2e0fca2b82cc2b8ce3e3,2022-10,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
4b8f8841df51e6e91332ba164b2b7d5657a76822d81af97976ce886c40f3f7ff,2022-10,Leicestershire Police,Leicestershire Police,,,No location,,,Action to be taken by another organisation
66f47c5d38b24a5d193fa9b901dbf0aaab0c4121e204d7dbdab1ddd55b8f10ac,2022-10,Leicestershire Police,Leicestershire Police,,,No location,,,Local resolution
f1c18b2b031f84db8cd922125083a5f73004f7d6d0a477228601e6a02d9f7dc0,2022-10,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
f5bfb5dcb37f75bfc719bddada7b8f8138b544c8f999ca6914e30240b335c044,2022-10,Leicestershire Police,Leicestershire Police,,,No location,,,Local resolution
cd5ed34decccb8f6ef5802292545de188f3db4fd13f87ac40c75a4563ee758d8,2022-10,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
78c1f5984d0a5698071d5dda2c729a84e077059e42632886a4e1e5283aa96063,2022-10,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
0dc45bbb85979887f57ae056da918a28db6eed12a3b66927686f5a04adeb2ac1,2022-10,Leicestershire Police,Leicestershire Police,,,No location,,,Local resolution
50f432075b71f289715f8758602ad76b64ab00430b2a4c9b01c410978826276c,2022-10,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
fea58c4aa790cdd3c9fc6c76ab7f22d2cd9a00a63da61fcb4268935b1b753aa8,2022-10,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
