Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7451ff4f2d88c3038366b9e028906ebbc5a336ad16d0562db7065e49cc050c88,2022-10,Norfolk Constabulary,Norfolk Constabulary,0.430101,52.764187,On or near Churn Court,E01026693,King's Lynn and West Norfolk 009D,Investigation complete; no suspect identified
5210529fad988dde755c1ba781b9d17cb260bba68a7cb929f31b99b51898e5fc,2022-10,Norfolk Constabulary,Norfolk Constabulary,1.289681,52.648495,On or near Rackham Road,E01026800,Norwich 001D,Suspect charged
c34a353c30c53a304e42137961d899001fa5fa450e49059d60025953be5c0ffa,2022-10,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Suspect charged
681d303435c56a339efd4b46d933f1c144f825e57b350397a2b9047423da40bb,2022-10,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
b4168bb5c73652503325d58bba61efec6affe31417c3819437433fc5727a584e,2022-10,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
9dff2a1f99f4c4bd124ede16e6bb10719fa0801a7d4e6bc0a5de2c5fe46a4dd8,2022-10,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
895702f3b4c648df97e301fafdbe50bb3a023f495bc61807426c5872610a7027,2022-10,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
ad3ca9c4be7c96a0e68ea5ce12f0d6d00b719fa43e9e66e3f5e03f9a3de34d6c,2022-10,Norfolk Constabulary,Norfolk Constabulary,1.725257,52.576644,On or near Clarke's Road,E01026630,Great Yarmouth 010D,Unable to prosecute suspect
0535e8aa7d26a2026f42008c2f57d8d693c845f86e273bb58336bca960cc2f68,2022-10,Norfolk Constabulary,Norfolk Constabulary,1.433252,52.879553,On or near Hilda Road,E01026751,North Norfolk 007C,Unable to prosecute suspect
1f8d925962e0f4b4282b8f2c4c760ca08f29e02b7152f46ebad481991a687152,2022-10,Norfolk Constabulary,Norfolk Constabulary,1.224665,52.677030,On or near ,E01026521,Broadland 007D,Unable to prosecute suspect
a442782d4df4a3cdf0337a70b778b5462f0da125919f4bb5c7b984d9da2603ee,2022-10,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
2a5bd05d88f18395bae865758a6091b4961f557a22f6b96cb9a8b8fd998b4a18,2022-10,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Suspect charged
86e4fdb40acd85da0f3f1392fed4cd9e4b29af0a0ed976797997df426352f264,2022-10,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
f9c80fb4566011b31009b35eb0176afba35e986c89c0a68e97ea3a7c46d3fd92,2022-10,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
93ccac3da274c23b2251edbf2d7726e258e2571c9db016bac6128c60b836126e,2022-10,Norfolk Constabulary,Norfolk Constabulary,1.340623,52.897945,On or near Rectory Road,E01026762,North Norfolk 005A,Investigation complete; no suspect identified
b7114e5913d7f675271421c992a39a295fa906a19c4b19956b095240561fc451,2022-10,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
e0c32598686409e2f2b4e457fc2da490ed33808d2cd3a3c8aa17665c99c99bce,2022-10,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
e0a75066fbfe8cf1ec5a303202ba8afbfd6022a3d67dc4b1f99a44c3acbc6f30,2022-10,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
38c8a0a295fe2433670c3b74dbe195059b40ce1b85a6e2013425dabadc2f5671,2022-10,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Action to be taken by another organisation
f6c0c41870f23904c817c44d714a2f60f9af54d1dbd230f02c43cfd99050a677,2022-10,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
979c282ae1eb02f3f16401a42aa2c090e80cc3df84a11d86ff845fd775f3512e,2022-10,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
813839e8764eaa3a483a3a8f4176242d92985d46cdff94cb2b1deb59d494efcd,2022-10,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
ada2e783580739dd1a42f01b149ffed6e86c3d000724eed3ecd583d47ae8db3f,2022-10,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
c88838b84aa5378395f26ded10ce0c55f44d290bb1a6182d606860983be78ef6,2022-10,Norfolk Constabulary,Norfolk Constabulary,1.737129,52.609442,On or near ,E01026598,Great Yarmouth 005D,Unable to prosecute suspect
7c1c2a171236395d4d18c235caead9c8abc855f269af5c62717c37c2322360d3,2022-10,Norfolk Constabulary,Norfolk Constabulary,0.560496,52.809766,On or near Church Road,E01026718,King's Lynn and West Norfolk 004D,Unable to prosecute suspect
9ce288355197489effa1a7dcd5b352ce1c1d959016013df8dcf31ca5b7270178,2022-10,Norfolk Constabulary,Norfolk Constabulary,1.303445,52.612568,On or near Netherwood Green,E01026817,Norwich 013B,Unable to prosecute suspect
9c4c1596521c76c20100ffcf85ce59481bd29e15543e2d07c5955a475ec89f8d,2022-10,Norfolk Constabulary,Norfolk Constabulary,0.885232,52.740703,On or near The Drift,E01026462,Breckland 002D,Investigation complete; no suspect identified
10bd2b3e726804790e3151fcd1a979b1827ad670c1d8a521ae78283bfba74f5c,2022-10,Norfolk Constabulary,Norfolk Constabulary,1.309520,52.639614,On or near Lavengro Road,E01026844,Norwich 003D,Investigation complete; no suspect identified
074e5f748af1800fef1487a9eb00c9c50fabc214f959b79e9c9baecd5e094bfb,2022-10,Norfolk Constabulary,Norfolk Constabulary,1.296039,52.566907,On or near Norwich Road,E01026937,South Norfolk 006G,Investigation complete; no suspect identified
8c48f5d09b1d67bd8b32a10589392d0dbc4205ad923a0df9aab9b5884919077e,2022-10,Norfolk Constabulary,Norfolk Constabulary,1.280668,52.631207,On or near West Pottergate,E01026824,Norwich 007C,Unable to prosecute suspect
6b911fccc50bfe12758dfc7f522b2f1d5cf31d98891b213fbc19bf550331db1f,2022-10,Norfolk Constabulary,Norfolk Constabulary,1.291732,52.629542,On or near Lower Goat Lane,E01026822,Norwich 007A,Investigation complete; no suspect identified
