Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d73300aa9b5cb305cae4cfe150795107ba12b52046918229b8bc860c76654fa4,2022-10,Northumbria Police,Northumbria Police,-1.552843,55.128952,On or near Bells Close,E01027425,Northumberland 025A,Investigation complete; no suspect identified
792518b52dba53b8f028ec246d47467675f9aaa5f3f8acef015b757229509600,2022-10,Northumbria Police,Northumbria Police,-1.626514,54.974827,On or near Spring Street,E01033554,Newcastle upon Tyne 024I,Investigation complete; no suspect identified
e4cb720ce76f2bdf182f1f885ab4009a7caa075d3dbd70493248e40ca265c576,2022-10,Northumbria Police,Northumbria Police,-1.607891,54.974903,On or near ,E01033543,Newcastle upon Tyne 024G,Investigation complete; no suspect identified
a26f9f99f3d45261e9b6cb85754f9d1083f6031ccceb41afc678c9eb77cd540f,2022-10,Northumbria Police,Northumbria Police,-1.607891,54.974903,On or near ,E01033543,Newcastle upon Tyne 024G,Investigation complete; no suspect identified
179f4ace797a64b1ae9c703358159cb25a88444bd894f0ff679629cc36fcbfe8,2022-10,Northumbria Police,Northumbria Police,-1.582089,54.986338,On or near Burlington Gardens,E01008365,Newcastle upon Tyne 012F,Investigation complete; no suspect identified
a472174fb20998aa77ee1d397fd97818e040f8aeca14833b8e6a94a1f9a6bb48,2022-10,Northumbria Police,Northumbria Police,-1.525175,54.992968,On or near Westmoreland Street,E01008572,North Tyneside 029A,Investigation complete; no suspect identified
ca1441145759e98fc84e3e3168aa079bc05a14813fa6932aebb0b7b26ac7d585,2022-10,Northumbria Police,Northumbria Police,-1.523175,55.043049,On or near Sharnford Close,E01008565,North Tyneside 007C,Investigation complete; no suspect identified
0f5b7c4cdecdb66145da0bd980f91eb4d31fdf6ecd7081deabed8f663622d375,2022-10,Northumbria Police,Northumbria Police,-1.669490,54.957949,On or near ,E01008262,Gateshead 009A,Investigation complete; no suspect identified
f5ba8f06b4073cc669fdc08effc83fe34a1b1927d17213a6a8ddea259841f7f2,2022-10,Northumbria Police,Northumbria Police,-1.569687,54.946342,On or near Willow Green,E01008213,Gateshead 012B,Investigation complete; no suspect identified
0644625f3fc5d88329319c625f3aacdee4db930127bd89f496d232a09623d5c6,2022-10,Northumbria Police,Northumbria Police,-1.386120,54.906696,On or near West Street,E01008703,Sunderland 013B,Investigation complete; no suspect identified
