Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b75e3b430e7effeefc0f2fa2da487f7db3dd1cf67bf849c4d14c8db621a47a3b,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.221582,53.027586,On or near Elizabeth Close,E01027939,Ashfield 016C,Investigation complete; no suspect identified
a9ce17076e2e91a7b910e53c85dffc3b139590e3e59a88f5f6b8ce7fda66d8d7,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.174151,52.979973,On or near Fairfax Close,E01013839,Nottingham 012C,Investigation complete; no suspect identified
1f7b2fe8a87ab56df2da4bcb29b6574b0548fe405eae249e2a30c8620eeba024,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.160732,52.969190,On or near Foxhall Road,E01013847,Nottingham 017D,Unable to prosecute suspect
9d804b1829dc51ad19eb7a5ffc3eaa1eec4be394bc16e8b67add7fadabf340e8,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.136635,52.952962,On or near Eyre Street,E01013920,Nottingham 029C,Further investigation is not in the public interest
d7b5842e5b10e4a850cd8d1cdfaf8af47db4a8f6c85096072817e04f5e3239b9,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.281616,53.006587,On or near South Street,E01028116,Broxtowe 003C,Investigation complete; no suspect identified
5ae07a7523c2cf963077244d1d54277e60d19576b93bc9234b8b51a946bf879e,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.148415,52.938260,On or near Ferriby Terrace,E01013873,Nottingham 040D,Unable to prosecute suspect
bcbb68c14360dd4cfdca91295cd08f2227a0329ef80dbb928a9fe477b2db375d,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.149253,52.953179,On or near South Parade,E01035506,Nottingham 039G,Investigation complete; no suspect identified
0dc135a80076c68f4ca022e2f0eb2ca07e2085afde75a1d2e739a10271ee802f,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.287191,52.991994,On or near Park Avenue,E01033413,Broxtowe 016G,Unable to prosecute suspect
0ed43b6028afd51c40b14426cd4c49f307d8b21a620f32399648f91deff17289,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.105893,52.966228,On or near B686,E01028159,Gedling 014E,Unable to prosecute suspect
174da279544d89928edbdb59ee1863450555766324bbe8542da9762d8f447554,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.128457,52.933288,On or near Park Avenue,E01028416,Rushcliffe 005D,Investigation complete; no suspect identified
667b1dda6fe5066b1ad3a44ac0e8f7959a2fb59bf7f12b74bacbf4042ea4d2db,2022-10,Nottinghamshire Police,Nottinghamshire Police,-0.949232,53.307317,On or near Farfield,E01028019,Bassetlaw 010C,Unable to prosecute suspect
b22a13ffd209e9c500a3e26b3a51c96a49121a8012c816058c71ac5df4b233f0,2022-10,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Local resolution
b1c5a6a5e04575ef659b833a48a0e2ba474b148e953e5fc51e12f6b1f910093c,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.166873,52.963444,On or near Weston Avenue,E01013814,Nottingham 022B,Investigation complete; no suspect identified
64d2e62e7f2878d8ca223ca64ea61dd130c2eeb358c3c04704234fa4f4438262,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.200806,53.143185,On or near Belvedere Street,E01028268,Mansfield 008D,Unable to prosecute suspect
46810cb25d628c7881c954a11cd6073592fdbc0aa21c13dc94decf459d74d831,2022-10,Nottinghamshire Police,Nottinghamshire Police,-0.929103,53.310446,On or near Grove Coach Road,E01028010,Bassetlaw 008C,Investigation complete; no suspect identified
425a82b29ff927f7423cc0dcc80be835a33dac3799cebe71cb6808362eb77285,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.061014,53.424062,On or near Buckingham Court,E01028028,Bassetlaw 001F,Investigation complete; no suspect identified
b4b11fbeb21d529921718319925f5d1f926fbc22f9143ebec2945ffdbe55837b,2022-10,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
5f67ce000710d906876c2c16b1491c59b1b895e538a671dec73b87b75ab8d3f6,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.118720,52.973174,On or near Florence Road,E01028163,Gedling 013D,Unable to prosecute suspect
8f5de3d4bbbc92f8b9e4fd73f51106d03e5bafa44b556e0da379412dfa588bda,2022-10,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
582d873a13372a622db129353aeb30cd8c307c8aa2bd4112ab0e8c1a6a4826c4,2022-10,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Unable to prosecute suspect
5b6979007eacfb504cfe68a64d9c551af289931bdf291b5e91b1d6929b26ba97,2022-10,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
dbc85ba918161efd3af1f5d0c07253ecc494b1cefe7c1bea0ff5fddc98f97b9b,2022-10,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
d53ff1e72c47d4c146921e0ac5639715e8bfebd8adef996a26f7831f09c320a4,2022-10,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
0700ad5b756db459d167326a6edd7c5cca2a592ba83236e03e4dbf27e7916c16,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.109310,53.314273,On or near Kilton Hill,E01028042,Bassetlaw 016E,Investigation complete; no suspect identified
70007e251f6dfc77c52dfcdd7508364922341356dd6158a30c8fbda9c2f0e29b,2022-10,Nottinghamshire Police,Nottinghamshire Police,-0.804522,53.074405,On or near The Croft,E01028335,Newark and Sherwood 009E,Investigation complete; no suspect identified
b7de28a0fd25b2158c7f9bb6b6a405c0365396c6f951ba462fb380e6c66b16b3,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.172405,52.945845,On or near Petersham Mews,E01035505,Nottingham 031L,Unable to prosecute suspect
3bb71e7f59ec6de59397da0a8307c9e5555bc77d3cdd3712e7700bb123892b14,2022-10,Nottinghamshire Police,Nottinghamshire Police,-0.941107,53.323308,On or near Parking Area,E01028011,Bassetlaw 008D,Unable to prosecute suspect
ca22c2e0c99f717777c46bfe319e12ef8b02d4692109c0979cde812eb7568072,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.093797,53.335200,On or near Red Lane,E01028004,Bassetlaw 004D,Investigation complete; no suspect identified
fdf3801df724495389c56652b9f7764869098daf0349a93e6d34aa752697af53,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.125262,52.986949,On or near The Wyndings,E01028215,Gedling 009D,Unable to prosecute suspect
ec08869f54a70dd744d83a655b1ad6e9b915e40e7a19c03e222bfd21cc6caef7,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.281757,53.000789,On or near A6096,E01028116,Broxtowe 003C,Investigation complete; no suspect identified
e964ea6b8ff999046d061b439de5878de36e290e5093728a1f3e4fa91ea87a9a,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.165979,53.215354,On or near Lilac Grove,E01028259,Mansfield 001D,Suspect charged
d413eb5d669ae327e524b8ec454794cdf5ffa4fb7edd43ecd240b8b126c08693,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.153465,52.956257,On or near Nightclub,E01013816,Nottingham 022D,Investigation complete; no suspect identified
58df479443485e3ebe0b578bf6f9cc2415291fa4aad32458c98076c117c3b01f,2022-10,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
0c292c15e3bbd4ca0697fd166b9663d6533f704a45cac2b74790a01d2855ddf9,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.284367,52.985307,On or near Awsworth Lane,E01028106,Broxtowe 016B,Investigation complete; no suspect identified
0c5ecb0b88acbe204b9789fbb31f3bb34b1c535cf2bf094dd617771c26fb2036,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.103839,52.901371,On or near Lenton Avenue,E01028412,Rushcliffe 012B,Investigation complete; no suspect identified
1e3ed21f5d71e16960cec442c6caa618eb55682451e9530e9b479265e104f0cb,2022-10,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
2ba1e209e5f8f970bf0610a57d3e4945d2624ce265b679441986b85d048a4b69,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.150250,52.954733,On or near Queen Street,E01035506,Nottingham 039G,Investigation complete; no suspect identified
349c915fbf34f1913d39c5da68e4605700d5578372bb6c52561f7deb7eb8e8a3,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.203891,53.147754,On or near Thoresby Street,E01028284,Mansfield 008F,Unable to prosecute suspect
a2dc57584898f2eb88865a134266a966f2078a3e6601054818e5ea7f2641c8b6,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.141689,52.954851,On or near Nightclub,E01033407,Nottingham 039F,Investigation complete; no suspect identified
97c4793c652d5e6da32ef0e581d55057c64b9a7fdaa67278478d0177cb02126c,2022-10,Nottinghamshire Police,Nottinghamshire Police,-0.800266,53.077679,On or near Newstead Avenue,E01028305,Newark and Sherwood 007C,Investigation complete; no suspect identified
5353d6fb657d624efc6017a60b28e19fd0dba57d6c28f448f8ef48a2e6c6ff9d,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.153091,52.952532,On or near St James's Street,E01033400,Nottingham 039B,Suspect charged
0e8d39a27c92b988de92a4d58d13f2ef12b8633ae7a18a6ce533b35e26caee45,2022-10,Nottinghamshire Police,Nottinghamshire Police,-0.807781,53.075849,On or near Bridge Street,E01028310,Newark and Sherwood 007F,Investigation complete; no suspect identified
ff7dc93d2691b0adfbd82687f2388453cf241eceb1a1e9d110a3d2f71cf010ef,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.213035,52.926093,On or near Supermarket,E01028073,Broxtowe 011A,Investigation complete; no suspect identified
ae59883d0069fc1eb6b6c2da51b8d788c462b05610e254bbf134eb903d5299cd,2022-10,Nottinghamshire Police,Nottinghamshire Police,-0.818831,53.344715,On or near Leverton Road,E01028035,Bassetlaw 002E,Investigation complete; no suspect identified
8f4e4211ddc19d1ab6f51d16239be40c48b8d1b51527136082f536356190889b,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.130729,53.007728,On or near Cherry Close,E01028144,Gedling 006A,Investigation complete; no suspect identified
08ba324b6236e0bb0456311b3587cea5b54384c6dffa686d69d7c11855cf475a,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.186950,52.942404,On or near West Road,E01033410,Nottingham 031I,Investigation complete; no suspect identified
b2bde97201d42319ef88c097bc4939dc6b4eb3f9768c39520f95bd984b888021,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.013184,53.204245,On or near Supermarket,E01028340,Newark and Sherwood 001E,Investigation complete; no suspect identified
324a303fef43d65d7f2a0acf8a61d1ca229e64afc819d3d45429f63ab0c15212,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.239124,52.909227,On or near Whitton Close,E01028137,Broxtowe 015C,Investigation complete; no suspect identified
11c63e69a112dc06424ae38310c545497966e0fafc9026a7ffb57170f4880df8,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.172759,52.961615,On or near Wimbourne Road,E01013945,Nottingham 026B,Investigation complete; no suspect identified
cfa6f9be459eaaf39579b36a50104a24994fd9d8b218254d07a014df34ea74c5,2022-10,Nottinghamshire Police,Nottinghamshire Police,-1.180352,52.986011,On or near Rosebery Street,E01013836,Nottingham 008E,Investigation complete; no suspect identified
