Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
bbd1206d64f0239be1be562ad2e812603d02df491e1c3bc5e05c9c997f5bff66,2022-10,Staffordshire Police,Staffordshire Police,-2.141585,52.994845,On or near Carron Street,E01014278,Stoke-on-Trent 021B,Unable to prosecute suspect
317e292c01dd14af04d0529bd4789091185e8696984b143ef702a2d6bbea7cfd,2022-10,Staffordshire Police,Staffordshire Police,,,No location,,,Formal action is not in the public interest
b72467eecfe00d7f8c7dfe53870672ae1cefff2ad940f5ca918045905214f65b,2022-10,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
392525a7cc738bb53a7b681d3c8c543635f30277dcfb344b57a82317ba4077ac,2022-10,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
2cb36fb7cb8aa58490a892e03609d901899c9afca261986b933f3a9bc0be2d99,2022-10,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
f5e0e2bce0ba9af148d759fc69f0a33637b79ec854288475887dccba7e7b20f7,2022-10,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
f1f020e1b7b4f91dccd87b6ddf8049631f475906814d8d9afdb1b7c009602fd2,2022-10,Staffordshire Police,Staffordshire Police,,,No location,,,Further action is not in the public interest
8353ef3892089038a160cfc444789b1654c555c0c90fffc73d603fe537bb8835,2022-10,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
2cdcff84a9ed49e82157e6175df7100684a902403d2597401787a0576f6d50d6,2022-10,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
de1d50ed73da972863b97b3a9e9105afa7a9647f23ad10ab2e4805b84b09de9f,2022-10,Staffordshire Police,Staffordshire Police,-2.171879,53.044811,On or near Holden Avenue South,E01014270,Stoke-on-Trent 008D,Further investigation is not in the public interest
d08c37ae70bc791dae863a5ba659e2f600bbfa9774f3be63c3473e1d3789777c,2022-10,Staffordshire Police,Staffordshire Police,-2.159769,52.891967,On or near Eccleshall Road,E01029753,Stafford 003E,Investigation complete; no suspect identified
8fc521350fa2a56054853b375ca2043e81bbd4a1da2ea7e56fd9cdeac65e8adb,2022-10,Staffordshire Police,Staffordshire Police,-2.234892,52.694188,On or near ,E01029668,South Staffordshire 003C,Investigation complete; no suspect identified
7fe87d8da85c9ede071a18945a4e197f4cad8ca60d88a74ebd9efa4309234530,2022-10,Staffordshire Police,Staffordshire Police,-2.244204,53.086538,On or near ,E01029588,Newcastle-under-Lyme 002D,Investigation complete; no suspect identified
484976839ff86c21ccd2a6bb23168e8f4ac1ec46107ca79dc120bc016ddf556d,2022-10,Staffordshire Police,Staffordshire Police,-2.139581,52.992573,On or near Rill Street,E01014278,Stoke-on-Trent 021B,Investigation complete; no suspect identified
4bfafddd07683f1afe4f953a20c0d840e01b33f744247b781d848dde23343d31,2022-10,Staffordshire Police,Staffordshire Police,-2.231578,53.034768,On or near Croft Avenue,E01029539,Newcastle-under-Lyme 006C,Investigation complete; no suspect identified
9c79da6f630e58fbf32caedfcf5dfad524dd5b1a07abebcb40aa0b8115d4ba65,2022-10,Staffordshire Police,Staffordshire Police,-2.156950,52.987814,On or near Whitcliffe Place,E01014239,Stoke-on-Trent 026C,Unable to prosecute suspect
9592384c7e96eb3b3ac58dcac96280f6928f5c8d1c25f620bea945af958f3706,2022-10,Staffordshire Police,Staffordshire Police,-2.171651,53.084885,On or near Bemersley Road,E01014257,Stoke-on-Trent 001A,Action to be taken by another organisation
bd7016c0df9253129e37a3801c583991853acc88a14c70ca3f802cc85ed0be50,2022-10,Staffordshire Police,Staffordshire Police,-2.128064,52.806004,On or near Tosney Place,E01029736,Stafford 012B,Unable to prosecute suspect
14076190dd8d751a58a2dc56e73f26712b1b0f42dc23812806e2c7bc40a0811a,2022-10,Staffordshire Police,Staffordshire Police,-2.182612,52.537527,On or near School Road,E01029671,South Staffordshire 012A,Unable to prosecute suspect
04c6b1fad13d8dbc0a053b71c6039db291c9a65d5a8343e18fcedc2da68a1200,2022-10,Staffordshire Police,Staffordshire Police,-2.157269,52.993639,On or near Duke Street,E01014279,Stoke-on-Trent 020E,Investigation complete; no suspect identified
ad19e40dd93107eee7e8701b256509df9e30186d2e8d22b479d62640991927bc,2022-10,Staffordshire Police,Staffordshire Police,-1.720226,52.598685,On or near Church Close,E01029488,Lichfield 012A,Investigation complete; no suspect identified
359e10baf16542e4d8e223e1edd5045ebb45471958b76fc32828e722d42089f4,2022-10,Staffordshire Police,Staffordshire Police,-2.098192,52.945160,On or near Knenhall Lane,E01029703,Stafford 001B,Investigation complete; no suspect identified
eb76642b06662dace2bd4d1f5b7f1f22fbd1d43dadfad57b168e603a87ef5fef,2022-10,Staffordshire Police,Staffordshire Police,-1.760632,52.715604,On or near Rykneld Street,E01029477,Lichfield 002A,Investigation complete; no suspect identified
f853d6dc39174339844f47026593b06b844ddd84f0e9f4283e13c9a0e1755240,2022-10,Staffordshire Police,Staffordshire Police,-1.675150,52.602921,On or near Torrent Close,E01032901,Tamworth 010F,Further action is not in the public interest
b1036e446ee91343747747eefd28ec7278003c20b6c0bcbc365a9ea5fb4a82b7,2022-10,Staffordshire Police,Staffordshire Police,-2.031681,52.695380,On or near Wallace Court,E01029367,Cannock Chase 011E,Investigation complete; no suspect identified
308d29c1bbbc17275697c4ae4ee1bdb0d895f991120bf2a3cc85103a01e52e54,2022-10,Staffordshire Police,Staffordshire Police,-2.229632,53.080976,On or near Jodrell View,E01029587,Newcastle-under-Lyme 001F,Investigation complete; no suspect identified
776c5705fb90c67ca15fc9bf0d85a6c2827995843212467a2caa6d2b871a7664,2022-10,Staffordshire Police,Staffordshire Police,-2.243039,52.485852,On or near Hoo Lane,E01029667,South Staffordshire 013B,Investigation complete; no suspect identified
