Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a8f0de367c5f6712c4dfdecca1eb170600f183ced8575841ab2cab4855b8d12f,2022-10,Surrey Police,Surrey Police,,,No location,,,Unable to prosecute suspect
fa2f448c5dc3bb5e2a1534be3fcb2946b10ba14f7ed2260125d638a2f5b7fae5,2022-10,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
6aac9aa20b46bb59da4bdc0c249d5f79befd4a43571e94453f5ef484589df3cb,2022-10,Surrey Police,Surrey Police,,,No location,,,Unable to prosecute suspect
ea2a3135f70106a8214114297360117dfcf327a73b060cc9de534715c45db5d2,2022-10,Surrey Police,Surrey Police,,,No location,,,Action to be taken by another organisation
8c36c5188a29263586b96b16e02227479556944ff4ce610b4c313f3ee9000201,2022-10,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
a40adaf7c616b98b59852d08a75f2e0f3d0e0fa0836f16a88b83800eda3403e7,2022-10,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
93e8022be17cd1ec6c0a9d7ca4665bcde6175a6990ec4cd024d3d307fdd31c63,2022-10,Surrey Police,Surrey Police,,,No location,,,Unable to prosecute suspect
7289deba88fba9ed8d43129115ed2a58b6ca8e8106c88a5a718cc7ede3fd9360,2022-10,Surrey Police,Surrey Police,,,No location,,,Unable to prosecute suspect
4a624618ebc0bfd46dbd8c2b853c8a7aea5133b7e1277e55f2859bead602f46f,2022-10,Surrey Police,Surrey Police,,,No location,,,Suspect charged
09adbad2aa68d6909756aa2b27034fa94c5b1ab0a7d5cb748bcd51eab9241822,2022-10,Surrey Police,Surrey Police,,,No location,,,Suspect charged
45a3e0e8172867f294aa5bbf024ff53c738cfeee82e37e2b9c5b1d489f026b37,2022-10,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
c5494901c77821a86baa77cbe7599923740bdaf0a5569991335d4e86eb704793,2022-10,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
fb33bd2ef718c70ba052fd2591b905c214e60154634fe5cbdf1ca81a38e0650c,2022-10,Surrey Police,Surrey Police,,,No location,,,Unable to prosecute suspect
294c6a48473f56d88b2219a491f44056205c63971c218bec62ab528ce1182a45,2022-10,Surrey Police,Surrey Police,,,No location,,,Action to be taken by another organisation
4433fce8293af065cb093bb3db3a3a61845243446ba4c1b9b8742e6aab51906c,2022-10,Surrey Police,Surrey Police,,,No location,,,Local resolution
ac182f3ce5281a07e3e01135d7baf56a714a5ea7f7e2e2a58a1a6bd8d8f4be9a,2022-10,Surrey Police,Surrey Police,,,No location,,,Unable to prosecute suspect
a39cf998f15a727be827f1f190a34bae5e837b719833a07b9146fd8a72f74c0d,2022-10,Surrey Police,Surrey Police,,,No location,,,Action to be taken by another organisation
7ef619acc383375a532f770259c2b07e450ab0155dc27e3d2df2b626779b5017,2022-10,Surrey Police,Surrey Police,,,No location,,,Unable to prosecute suspect
01839a375ea6e0bfeafc2591e7733b2a8c247ff5ff151e6cfa89a9adfd550991,2022-10,Surrey Police,Surrey Police,,,No location,,,Suspect charged
b57789cf95de10eb8e3ee94d07d13394675931ee1670212315f7c0ba4c8a68bc,2022-10,Surrey Police,Surrey Police,,,No location,,,Unable to prosecute suspect
c0481f47e454b1d9fe6bdec1db504edf2d09b7a2dc55f78133ffd7d0347ed4e0,2022-10,Surrey Police,Surrey Police,,,No location,,,Investigation complete; no suspect identified
9add103a3a13a019ea983da267561c44b659fc706ed6b65c2c53a693fecbb4d8,2022-10,Surrey Police,Surrey Police,-0.207050,51.288697,On or near Warren Drive,E01030589,Reigate and Banstead 007A,Unable to prosecute suspect
5359a0ccff4be0383f7c95c2aa9959760afa56dea0f24e72251bca633652ee84,2022-10,Surrey Police,Surrey Police,-0.077203,51.291061,On or near Stafford Rise,E01030851,Tandridge 004E,Unable to prosecute suspect
52ed69ed9f7bbcee7571c14b6d1303699a33218d3c67bd3cc40af2cef790235b,2022-10,Surrey Police,Surrey Police,-0.207447,51.322704,On or near The Horseshoe,E01030560,Reigate and Banstead 002B,Further investigation is not in the public interest
074dbeb71ce261bd635d2821e3a54d15b2ab0e46cfa04dcb83c105fc6334502d,2022-10,Surrey Police,Surrey Police,-0.617063,51.185035,On or near ,E01030914,Waverley 010A,Unable to prosecute suspect
3451d8b32b424e1991b85140dfbb0b21f2d73096d1b386bd55e3426ecd21a0c4,2022-10,Surrey Police,Surrey Police,-0.246425,51.362637,On or near ,E01030406,Epsom and Ewell 003C,Investigation complete; no suspect identified
b1fc538919abeb2e8a0cdac77126e952ee45963c4e6a22b9ae0bebc700c4ff3a,2022-10,Surrey Police,Surrey Police,-0.421390,51.419628,On or near The Parade,E01030751,Spelthorne 008D,Investigation complete; no suspect identified
5256b3aa47e4c5673e665f2a405d35bc7bc358585b4c61e6a4816204cebb5818,2022-10,Surrey Police,Surrey Police,-0.421390,51.419628,On or near The Parade,E01030751,Spelthorne 008D,Investigation complete; no suspect identified
4b9ca274a1a05d2d36e173e16ca8b6e746193d9ab20fe44f7b0761d62a883033,2022-10,Surrey Police,Surrey Police,-0.535297,51.134807,On or near ,E01030862,Waverley 015A,Investigation complete; no suspect identified
bbc4195d00df9697d978c554f4f4dc3c0555f040aa77f953c390f82efa203702,2022-10,Surrey Police,Surrey Police,-0.211679,51.226007,On or near North Road,E01030631,Reigate and Banstead 013D,Investigation complete; no suspect identified
2c6675f287a53d6e57d0c68063fd9b99de0be407fd5aa017251b5a208e7a6404,2022-10,Surrey Police,Surrey Police,-0.595851,51.189000,On or near Grange Close,E01030922,Waverley 007E,Further investigation is not in the public interest
0e7907621ea5d6c84c6066640dcc9a4a76b3b78a855415af19e11b8e36fffc56,2022-10,Surrey Police,Surrey Police,-0.687675,51.362727,On or near Gloucester Road,E01030758,Surrey Heath 002B,Investigation complete; no suspect identified
2f0f9dd3dcdb415a1952296561558211ba4484a3cd0e38c720d8f15c0e5b038c,2022-10,Surrey Police,Surrey Police,-0.195271,51.220017,On or near Weald Way,E01030633,Reigate and Banstead 015D,Investigation complete; no suspect identified
56302c886a3d5a5724be9e82557635d6478c683429d485eedfbbca2b2c8d4d07,2022-10,Surrey Police,Surrey Police,-0.755995,51.334401,On or near Heatherley Road,E01030795,Surrey Heath 008C,Investigation complete; no suspect identified
c62033c82f84d398f2d4454d5d0fc2abc182b20ab591148b272209f0fff7c6c9,2022-10,Surrey Police,Surrey Police,-0.799850,51.216044,On or near Castle Street,E01030885,Waverley 003B,Investigation complete; no suspect identified
4060dc9b196fbf1ffb586b0d1d10417790a4459b4789502925fca6bc7bd31dbc,2022-10,Surrey Police,Surrey Police,-0.756012,51.318386,On or near Mayfield Road,E01030805,Surrey Heath 008F,Unable to prosecute suspect
49c7252139b603506645054af90e3595828f92316d7c507e4681c0b696461c12,2022-10,Surrey Police,Surrey Police,-0.510135,51.104893,On or near ,E01030862,Waverley 015A,Further investigation is not in the public interest
