Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
da4ba512c49a1f5a32c99445c7d30d619e5c70f0b98fb7f46ffaa4a86a752e37,2022-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
528b939f40ce87b942557bca42b989c223b40e77b131b0f7141b293863b8bd73,2022-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
6c0499a415466c01ff4542dc81bf2a2f5f14613d202f620af51c5c40b7c394c8,2022-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
64aa89c5306fbdab8ea0c06d1c4e1c7e0f1cd853c15477d87f803a7ac1cb649f,2022-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
41ddab24594c5b0dd81fc564d9b17fbf7869c9869ad81ccbfd1e7c65b6093af7,2022-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
68fbb45bf315e0c0e7a3d10ca63c99f4b847f14eeb0a1cd6442e759b2b0b6837,2022-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
61d27bbc79971f022257ccbeca036257daf4413a882e6795a71cb58d24a01b4e,2022-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
bccc4fb72b232670123f9854f7d16ee2a66ad3e9cad52dcdf67137816fce275a,2022-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
27c8f0019e4ae9a3867d3018e77cde6f71dd369ab1c8e0c37870a67ac9d804f6,2022-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
9163fbb5e085b0e62425259b03580e4e30a1e1e5a1cafddcf756a86cc051f291,2022-10,Thames Valley Police,Thames Valley Police,-0.564477,51.499439,On or near Nelson Close,E01016513,Slough 011C,Investigation complete; no suspect identified
0f33c96d9097e66e2479e23a8b96a004be21376d7614db9ef8bfc15675644c77,2022-10,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
35b167f2a46ef2680fdaa851b66d83281c908a2c878deff38d0dcea11eaafadb,2022-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
483885cfbae0cb53bd9f215e25fb4b51957b9d0b48a1496b97507561ce870f92,2022-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
d58c31f6fa12df44b021af7009b04ce9aa8f03072d2f5ed1b5d4e67a7b86909f,2022-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
f5da9f053ae8629e7e4c4492ac7242b555243f8550ce38412c7fe7545c1f8172,2022-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
f991c0ca2c523f7a6a8b13bc233698af2e38430f517c49e3c79edb941d160f8b,2022-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
71f59407a746256e66ce46239ccbbe9ed4e97a4cd15241b4a84267961f08c7ad,2022-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
507be4e454ccb2f4b9e8a9b3e80be249f6cc2a7a9d988049a55715fd192ec164,2022-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
f3b3b86684aee4d651a334b30c95296bbcb471d87917297e59e007d440da4e94,2022-10,Thames Valley Police,Thames Valley Police,-0.977150,51.456016,On or near Cheapside,E01033415,Reading 011F,Investigation complete; no suspect identified
424be14b588f13076b0914dc9f263fb2a2c22a0a630a08752b9ac231339b3a4c,2022-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
31d8be93bfe99a4c9e89297e58fd684eaf544f2f564b9276e7f109a4fe149aa5,2022-10,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
f8c2cecf43d18a0a7c4b15f4317279242db239bc19978a9f5be23a4ed640734f,2022-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
468a3c39ebfcc4cf5a9c39c6d12aa6c16a3f156adb8ba5219e2c48055a419354,2022-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
9648c90f668fcd07edf516aaf0f33e695dd701774338442b84ff0d29a9dfa949,2022-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
198142c83596b898de5c9bc268c404a31a21e40afe8f61bd97b93349750bbc6c,2022-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
b2f0f1579c878a4ee772525510e76dc4d8373d5e7eebd7bcf35a4f62d9254a80,2022-10,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
21bdd1b09e8192ed63f4982a31518b2be61a13aad83429d57ccf76bd3ff77a5e,2022-10,Thames Valley Police,Thames Valley Police,,,No location,,,Action to be taken by another organisation
