Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
725568783facf1617f01875a55bd223b67d07a336f5873ea7875fe5c26798c07,2022-10,West Yorkshire Police,West Yorkshire Police,-1.520359,53.806869,On or near ,E01033035,Leeds 064F,Unable to prosecute suspect
bcb77ce4d73b2f94c15a9c93036ff50bb9650836d7f81cbb8673eddaed4bb8d2,2022-10,West Yorkshire Police,West Yorkshire Police,-1.469602,53.807614,On or near ,E01011343,Leeds 061B,Investigation complete; no suspect identified
714d49b813c3fd4e64cc2a69c28797801d7908839a3fd412bf2ebd69abe02589,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
0e8e724e391267e6e96b32964a0f3bd2abf29e84f3059a31c6a2102210a5db4b,2022-10,West Yorkshire Police,West Yorkshire Police,-1.512165,53.810297,On or near Cowper Avenue,E01011433,Leeds 053C,Investigation complete; no suspect identified
d4a71d2f7c00f92b53ba01940c320553f66511bfa07ffb909f43a7e2186f1617,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
a32d0cb3f520f9c0a721ac28aafc1ac65e820b8f722b372e0775b9536bc718ce,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
87d2e5426a16b0d02b7f6a577da6b5c3ffffada70b60fd67cf329ca6f436f581,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
7b17a222165a555fa5d691a520d941aa40390c183e6cdbf52b9ac5a6b1aab30a,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
03c602f77ac1e8f93ea4c9c02c8753da494c785f5ad5c0c29523a7970d2a924e,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
bc7a0eb740c238d33e63c60dbd52d94838eeba613726f9195e81d20ce8ea70fb,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
581012de5b0429fece03602b8f5901f62bb0236d19e5dfaee9ca460911f3a199,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
7b00a459757850c43fac71062819f6044bb387d2eab3e486c9e02f6595cf0d4c,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
65526566c980eb6640c9259d5f94764e3e267407e95d90d129df85f5f3b25f8b,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
1dcdf6a6b42b4233292e150562a26ed3aa80463cc7e69a46d6e1898ccd612ffa,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
8783f8d610031e305d6ede9561c0971b2d6faa1c460a5432a3b4f7aee27765b7,2022-10,West Yorkshire Police,West Yorkshire Police,-1.263355,53.618251,On or near Strickland Road,E01011856,Wakefield 041C,Investigation complete; no suspect identified
9028eb859271bc1338f3519cf730247e577bd913eaf7218936ca7d3c09d0bda6,2022-10,West Yorkshire Police,West Yorkshire Police,-1.806583,53.651181,On or near ,E01011231,Kirklees 034A,Investigation complete; no suspect identified
adb5725292fbe7d5758c2e88424f4f483e9b9161a5fba7d0cfb8cfad1b4f503e,2022-10,West Yorkshire Police,West Yorkshire Police,-1.789510,53.658819,On or near Leslie Street,E01011043,Kirklees 031B,Unable to prosecute suspect
744870c05dfb9413c9ab0231568be03b7d1827da7893a375860340abad043a40,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Local resolution
403fe3f34a76e12270ad28eeed0ed580e7dac2c7c1855dbf90a3bc52b15032e5,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
c25a013f016969571721f26e6d2bc5e8fceb50984b5f18546ee48100cfcccd0a,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
1a2e2c175f595a406f33d269a0eabc45c52754cf8e5fdb82c380264524f45328,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Local resolution
e6afc2701618ac7508e2dd0699edec73dd9e5463df47e2854afdd1bd2588f07e,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Suspect charged
97222e377b69e2cc900e5f5e3c0404c2d5ace87a38c86d7c184f6f907b6f9236,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Local resolution
b7e8eb877822be500e12a2a5de099e942d78d9e32ac17a58222fa8f18f382957,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Local resolution
27bf145a9ffcff357064f3114b41f5ebad0af7c6e021c632d81b1c259cec3854,2022-10,West Yorkshire Police,West Yorkshire Police,-1.603014,53.687504,On or near Crown Close,E01011121,Kirklees 018A,Investigation complete; no suspect identified
1422402b3a297f20a1a963ef19cc19197b9ef714aaeffafb59f910d688eedf49,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
528edbe014ec9c816610f7f9683b6da7ac72df51d61c429132113e925b84fb03,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
d99501e415e215efd15dc5abe9bc2e321e5dd73d5f6e9845f4c24c6b57b260fb,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
d4aaaa8ee598a2fc7729169c0d72465c852dc57595ca5d6e1adf3f978f65e178,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
9489e1f32dcfd6467eb7106fd771122fabf270a95138bd852a6c8995c25bb2b5,2022-10,West Yorkshire Police,West Yorkshire Police,-1.594514,53.791998,On or near Barras Place,E01011729,Leeds 078B,Investigation complete; no suspect identified
78d063d8ee550daa23c36c74b7cbcfa952d7ff23822d58002fc1d30e1b621b6d,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
cf272a080cb728859c3c63825c0e771fea63c0d74550cab2ec377019b1022f83,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
fa6af646a06e88def74b3fa2855b93330186f49e8a472fd49b189460456b4b1e,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
b4b6f30585c7508a75fdbcd72b3eab573eee4feca98244edb8846708e53371e0,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
dfdbfaeb4eebe7e0c0f4a765eb219e4bac1d7b3620de3263e325ac86dac97786,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
bc78ec029a2ef361dd58d5a997d7025fb186f1cc670932114f9d64913a94cf26,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
286b35782942d8246f1896e3e5bf13f3ed99d167bac73582f69264512d9e918d,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
8815d5db2902ae6936227cc7b911d3514503fff81c799e41a2ad31ca98756b4d,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Unable to prosecute suspect
89ef7b0d0fb8da080c27b65b2ca27298138b198f005aa46e7591b2cb9de913bd,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
5a5e7c55a1e1b56216b20cdd999c02fda7fbbca26b4b7af7c736d970d7e918a7,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
97579588e4def8ef5ef8b3c29ac0b6fd67aa6fa5e4202da544743faac62c8f8a,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
dd1aa784a538039928726b720df68f2a6da5bdb7da0319e19767f7f1ce9e9d10,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
6928c055eb9c13c6bef475af3933b2e5a3d3cf3f57890ab3cc4876abada921c7,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
2af85ef9acb26497a436a557d78452b0f3e6978ad69e6206247a92a1d9aa0626,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
346cb1a0eb0a0c4c20b577bce25ee2bc8b80366888d6044bfdf583ca1eabd441,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
9ec9cd7c1ed348d62086cbe48f60b65ed7c2a791f97f12bf5e3a26f2003cd80a,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
aab4816b8dc11f0277a31d75ea2b5226494ada925bdd28bc5d945bc26554f89c,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Action to be taken by another organisation
26bff1823e5563385643c6eab5d583333dc1616adb562d86b5656e84fa63d9bb,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
09b635f693eb4006cda79cbb6780097c9be381b97cba1eebab4942b016c39970,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
99f531a7d8861e4e64db4558cfe6d0eaac9e0420f8750081365956d15fbc6b5d,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
a4fc198d3fea47d17266bab4339bdad5c9a8a75cc4813957d1288d30b7661cab,2022-10,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
