Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2cc6536d226092be38e3a5453015f1e9bb09cc121719daf7e13481d853bd64ba,2022-11,Cheshire Constabulary,Cheshire Constabulary,-2.592749,53.389758,On or near Hill Street,E01033300,Warrington 018F,Investigation complete; no suspect identified
05be4feaba9ffcabe3b1e7571bacdf16ab79d7093f4edeb3549c676ad751712e,2022-11,Cheshire Constabulary,Cheshire Constabulary,-2.506561,53.359441,On or near Petrol Station,E01012515,Warrington 021C,Investigation complete; no suspect identified
a5f6daf80be2eea1af67d53f3d98c456f2a583abb13a390e255c9c61dce6a315,2022-11,Cheshire Constabulary,Cheshire Constabulary,-2.227514,53.273514,On or near Morris Drive,E01034661,Cheshire East 020E,Investigation complete; no suspect identified
468e65f0a9c6be3d3a03624d36434c596fe4b0c9b5b4ab010c9e5fb37ecd15c2,2022-11,Cheshire Constabulary,Cheshire Constabulary,-2.888225,53.192099,On or near Shopping Area,E01035376,Cheshire West and Chester 034G,Investigation complete; no suspect identified
4576f3d1e7f0620cbbd6e58f338bea5e087b61d641cead20b7e79dca830abc5c,2022-11,Cheshire Constabulary,Cheshire Constabulary,-2.440250,53.097840,On or near Parking Area,E01018464,Cheshire East 039B,Unable to prosecute suspect
21f577fffa4856b843f690f48dba4484ff55319d4e29083f54bbaff8169a37f9,2022-11,Cheshire Constabulary,Cheshire Constabulary,-2.212312,53.171356,On or near Hampshire Close,E01018403,Cheshire East 027D,Investigation complete; no suspect identified
5129fd78895306b45905ca201e37f3bb9b1619ff610c9130307b6c06f6d0a79a,2022-11,Cheshire Constabulary,Cheshire Constabulary,-2.888225,53.192099,On or near Shopping Area,E01035376,Cheshire West and Chester 034G,Unable to prosecute suspect
a45e316d145a659aa8e5ccf80f12c4f35ddba8883ebe958ab04dacc3d33c19ab,2022-11,Cheshire Constabulary,Cheshire Constabulary,-2.917326,53.281949,On or near Atherton Road,E01018522,Cheshire West and Chester 010A,Investigation complete; no suspect identified
a01b5d3cfcdf0ea045a9901a82fd66218ed13a2a81ad3ea0fdb050e2137500c9,2022-11,Cheshire Constabulary,Cheshire Constabulary,-2.876243,53.192439,On or near Boughton,E01032931,Cheshire West and Chester 033F,Investigation complete; no suspect identified
9b633651ea916642b2005eb050a338447193267961f3982109bd6e92f3a25a7c,2022-11,Cheshire Constabulary,Cheshire Constabulary,-2.530958,53.068515,On or near Copley Walk,E01033373,Cheshire East 050F,Investigation complete; no suspect identified
272e67cf661714294d949221314e6e61d4a284ed889e1bf2cb582a3ec0179f91,2022-11,Cheshire Constabulary,Cheshire Constabulary,-2.527240,53.418953,On or near Petrol Station,E01012460,Warrington 004A,Investigation complete; no suspect identified
ab4328af805256eff94e72d6b12dfdc61b94c57d3eafc954bd4a28ff2f44366d,2022-11,Cheshire Constabulary,Cheshire Constabulary,-2.671128,53.333981,On or near Nortonwood Lane,E01012444,Halton 010D,Investigation complete; no suspect identified
1185631617351b37fe52a6462996f7ac05c05864cc33acfa505c7ab5312b6564,2022-11,Cheshire Constabulary,Cheshire Constabulary,-2.893848,53.287476,On or near Grosvenor Wharf Road,E01035365,Cheshire West and Chester 007F,Investigation complete; no suspect identified
