Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0f213da732a3bb5c1b1c5f165e5853f4184316edc50f0a8887650f0c85d8db59,2022-11,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
8bb3b573ef8b09c86cf1e1f1af0d4561cbce21603adf71b9c5d0bdc53b9c8e57,2022-11,City of London Police,City of London Police,-0.095054,51.510559,On or near Queenhithe,E01032739,City of London 001F,Unable to prosecute suspect
46f33bfd53ed5f49f5fff36cca3799baa432336db0e4f76b5a677e5bde753332,2022-11,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
423dfbc54ba53d17b92a7abcc9a852c6ec138e49f82afed42b8fecacea8b23d6,2022-11,City of London Police,City of London Police,-0.092531,51.512658,On or near Queen Street,E01032739,City of London 001F,Investigation complete; no suspect identified
89dc320742f5c3475b9ca57a6a81a521138f189f524190ae748f5da54a2b34c8,2022-11,City of London Police,City of London Police,-0.112953,51.518231,On or near Southampton Buildings,E01032740,City of London 001G,Investigation complete; no suspect identified
c9234cd11a7d8424141fd5ce0256132586720f99504ee20eedfdf29c970132d1,2022-11,City of London Police,City of London Police,-0.080291,51.514814,On or near Bury Court,E01032739,City of London 001F,Unable to prosecute suspect
6918498714436260e96e8f927051b6cb6e6aba24871935abb4ffb574bbe04880,2022-11,City of London Police,City of London Police,-0.100201,51.513286,On or near Dean's Court,E01032739,City of London 001F,Unable to prosecute suspect
3f19cae190aa808275a1f4f389b99b44f4691868fd980de71a3997335eef4091,2022-11,City of London Police,City of London Police,-0.095764,51.512549,On or near Friday Street,E01032739,City of London 001F,Unable to prosecute suspect
627815a5c96126ca5f66a778ddf834097b7b74eb7ebd647546201988fa7469e2,2022-11,City of London Police,City of London Police,-0.097291,51.514626,On or near ,E01032739,City of London 001F,Investigation complete; no suspect identified
e13c5b2643f1247d659c5cf9dd5583d707d5ab8967b9797896e64e9be9527690,2022-11,City of London Police,City of London Police,-0.110746,51.516523,On or near Cursitor Street,E01032740,City of London 001G,Investigation complete; no suspect identified
cad787147012700920eaddb59b6f20a12058523b1c3d34114cd3596ea9c7b821,2022-11,City of London Police,City of London Police,-0.092633,51.509872,On or near Bell Wharf Lane,E01032739,City of London 001F,Investigation complete; no suspect identified
2fb54e710fcac47409bc02a438b48b90d7e7d6fda184366c1636404ddffc07d2,2022-11,City of London Police,City of London Police,-0.084836,51.511939,On or near ,E01032739,City of London 001F,Investigation complete; no suspect identified
a1eb5a3bd5b4802f844e22af4eba5fd31b2595a8499eaa9bff162f24f8ffe096,2022-11,City of London Police,City of London Police,-0.104276,51.513712,On or near A201,E01032739,City of London 001F,Investigation complete; no suspect identified
06bd61f16f39ee542167a994f40eeda0e17220f004227e5d654eb9adc810375d,2022-11,City of London Police,City of London Police,-0.095224,51.513736,On or near ,E01032739,City of London 001F,Investigation complete; no suspect identified
86b059d771afac5e154970505e2543663a38257ab3cd49b6b5a4efb888ccc660,2022-11,City of London Police,City of London Police,-0.102538,51.517739,On or near Hosier Lane,E01032740,City of London 001G,Investigation complete; no suspect identified
5b72b46ae572ca40586d8a54b76028097225c2f62bcf6eb30d249c70751d0d25,2022-11,City of London Police,City of London Police,-0.099301,51.519674,On or near Hayne Street,E01032740,City of London 001G,Investigation complete; no suspect identified
8f3f624d08d3146128281088ab5fc583096481c69ecb0a41f656eb534f10491c,2022-11,City of London Police,City of London Police,-0.091823,51.514427,On or near Ironmonger Lane,E01032739,City of London 001F,Investigation complete; no suspect identified
76954a9cd7d33a76380b582f0b10ea6f61ada813146246e50bc4211f55815815,2022-11,City of London Police,City of London Police,-0.092531,51.512658,On or near Queen Street,E01032739,City of London 001F,Investigation complete; no suspect identified
bc06ac82f22f7845daf05f20f469bba6fb7d141bd4120bc363c084f24e759994,2022-11,City of London Police,City of London Police,-0.088785,51.517102,On or near Moorgate,E01032739,City of London 001F,Investigation complete; no suspect identified
6e1db9dd32c912afef1ce9227d8106443e1ad5a8c0d153fa5e50d533944a7d61,2022-11,City of London Police,City of London Police,-0.106076,51.517239,On or near ,E01032740,City of London 001G,Investigation complete; no suspect identified
5f255890e60553c036f458edddaee9ec86457a8b2882c788f4ebde53050bd4c3,2022-11,City of London Police,City of London Police,-0.079883,51.517326,On or near New Street,E01032739,City of London 001F,Further investigation is not in the public interest
9d66a783d0ab3bbb4134dcb1efdf6042f47ef3613d9c8b38f4e7f451be26cdf9,2022-11,City of London Police,City of London Police,-0.077804,51.518083,On or near Sandy's Row,E01032739,City of London 001F,Investigation complete; no suspect identified
38ae322ede9d0e021ac6e4c6aa24c8094ddda831e87a852d82b8900458d5cd07,2022-11,City of London Police,City of London Police,-0.079138,51.508312,On or near Lower Thames Street,E01032739,City of London 001F,Investigation complete; no suspect identified
6f99f741f98aea06d946133139b2d18e051700d130cb6a11e9f6b68c40cf4f17,2022-11,City of London Police,City of London Police,-0.083977,51.510441,On or near Lovat Lane,E01032739,City of London 001F,Investigation complete; no suspect identified
a453bc5e2895180c12df35bbce296fd743f6c72cf34227277a1fe57adbcc2338,2022-11,City of London Police,City of London Police,-0.081973,51.515948,On or near A10,E01032739,City of London 001F,Investigation complete; no suspect identified
0925b1bbe1dc0883c3ac1bd9ab3f98ac651792915dca79f1942d24a086b43694,2022-11,City of London Police,City of London Police,-0.086019,51.513631,On or near Finch Lane,E01032739,City of London 001F,Investigation complete; no suspect identified
a347d4b2f44c8c2c4fb634547cd7fd7c2780c02ecf8ba6a7bc044ccf3e42194d,2022-11,City of London Police,City of London Police,-0.087772,51.510665,On or near Martin Lane,E01032739,City of London 001F,Investigation complete; no suspect identified
e000d1d71973edbae5ed49d9dab062320c768f60a25047a07d29730a315ca020,2022-11,City of London Police,City of London Police,-0.097959,51.517629,On or near Montague Street,E01032740,City of London 001G,Investigation complete; no suspect identified
c709ec8e2f599ee4f7679cdbf9b5c36470cf96bf7eaeda82bf7e3b67836f5298,2022-11,City of London Police,City of London Police,-0.105131,51.513941,On or near Bride Lane,E01032740,City of London 001G,Investigation complete; no suspect identified
cbd6d8f56c7e3ab4f62c32f5c9e8c023a31ede6e119abbf1b5d4f55f19912015,2022-11,City of London Police,City of London Police,-0.084844,51.510725,On or near Eastcheap,E01032739,City of London 001F,Investigation complete; no suspect identified
ee18f73e5fb578752c8186f6d8b96440c96d0d4d31a16cb035e6accfa9fef2f6,2022-11,City of London Police,City of London Police,-0.089208,51.509744,On or near Angel Lane,E01032739,City of London 001F,Investigation complete; no suspect identified
288f4623cb5d01585b37bd76030c34b32d4a04d6888f186232381543518e4618,2022-11,City of London Police,City of London Police,-0.078755,51.518440,On or near Artillery Lane,E01032739,City of London 001F,Investigation complete; no suspect identified
ae7906c2f29b8c1262e6551f34396f48ed47fec99e7f027aa60b26cd47d06a5c,2022-11,City of London Police,City of London Police,-0.079127,51.509607,On or near Byward Street,E01032739,City of London 001F,Investigation complete; no suspect identified
0579045577c03cd819c3dd85f2bbd3757fd838718db1c8a3d5f978a38d1a96f9,2022-11,City of London Police,City of London Police,-0.083349,51.514830,On or near ,E01032739,City of London 001F,Unable to prosecute suspect
f894578ad7170bf00e523b04baff9f5e79eaf9e7f0b61d02cdec73d99556ac71,2022-11,City of London Police,City of London Police,-0.081512,51.518692,On or near London Liverpool Street,E01032739,City of London 001F,Investigation complete; no suspect identified
6d359ca5bd1df0c7a2fe94be822b687269bf7bde232f692158c9e69b3f4268f4,2022-11,City of London Police,City of London Police,-0.094130,51.519961,On or near ,E01000002,City of London 001B,Investigation complete; no suspect identified
ee33e7763933e7887d9f38c6d12d66f9397a9e6c94c5da49b59024ac4838b288,2022-11,City of London Police,City of London Police,-0.089208,51.509744,On or near Angel Lane,E01032739,City of London 001F,Investigation complete; no suspect identified
87885d77707fc910eafb41b6be55bd88c369f9c28caa20c0d1d1c8d8f2ccf64c,2022-11,City of London Police,City of London Police,-0.085089,51.512105,On or near Gracechurch Street,E01032739,City of London 001F,Unable to prosecute suspect
9ba8d4455d3e240908c33dfa025c5ae8c4af0df0f028afc71e42bf4951227b2b,2022-11,City of London Police,City of London Police,-0.087772,51.510665,On or near Martin Lane,E01032739,City of London 001F,Investigation complete; no suspect identified
02e3f7f2e83d1ab68af8ac7f66c530a95e97bf25b6357cf33ff0d15bf9199d5c,2022-11,City of London Police,City of London Police,-0.106076,51.517239,On or near ,E01032740,City of London 001G,Investigation complete; no suspect identified
52066f548bbd739e6eacb1e8fa8284cc56be15725a212ec87272bae65ed21ba9,2022-11,City of London Police,City of London Police,-0.086019,51.513631,On or near Finch Lane,E01032739,City of London 001F,Investigation complete; no suspect identified
6724530e0231bd47ba51d3ac2d34722cc169d5d157a7509c26b31630044cb43a,2022-11,City of London Police,City of London Police,-0.095054,51.510559,On or near Queenhithe,E01032739,City of London 001F,Investigation complete; no suspect identified
