Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
43109c3085e231b109c31e51cb5042362ec24d30b4b5de63da150b62a6eab05d,2022-11,Merseyside Police,Merseyside Police,-2.934286,53.392409,On or near Titherington Way,E01006557,Liverpool 038B,Local resolution
1f5b050b51caec5df3bec9ad2a37c3f8ddf2fafadd7f48780a22dc814e2994f0,2022-11,Merseyside Police,Merseyside Police,-2.914497,53.468132,On or near ,E01006510,Knowsley 004F,Investigation complete; no suspect identified
dc6065e002ab7daa11e2d9c2f6fd722b72b69f0e99128bc3f6a11aeb7f9f27b0,2022-11,Merseyside Police,Merseyside Police,-3.037035,53.421899,On or near Agnes Grove,E01007216,Wirral 005B,Unable to prosecute suspect
d6edf6e1f99d154556f257cc0ecc4628f017a7db7c8ef69816256d2581c00f19,2022-11,Merseyside Police,Merseyside Police,-2.917918,53.423494,On or near Kremlin Drive,E01006768,Liverpool 020F,Action to be taken by another organisation
0f50442d40f77bf8e9086edd3cd85fc003c3d51039e3ec4fd4da81cb2a3ae85b,2022-11,Merseyside Police,Merseyside Police,-3.039580,53.478695,On or near Beach Bank,E01006954,Sefton 028C,Investigation complete; no suspect identified
cbb9354fa5d8bc5877f1655bdcdac2cd6f0da3b8a1f970d51f8fd3bb88507506,2022-11,Merseyside Police,Merseyside Police,-3.003953,53.648042,On or near Glebe Place,E01006968,Sefton 004C,Investigation complete; no suspect identified
2da940bd6b3ab329e445d7e8ca4deca4dc7bd7fd6efa094807a0e2b18affac9e,2022-11,Merseyside Police,Merseyside Police,-2.889712,53.346853,On or near Bank's Lane,E01006738,Liverpool 058A,Action to be taken by another organisation
588342d1f295213c725fe955fc1f3bac02e26a8757b81021eafa1a0d4f139c89,2022-11,Merseyside Police,Merseyside Police,-2.993894,53.496801,On or near Runnells Lane,E01007024,Sefton 024C,Unable to prosecute suspect
b5d1859626e73b3feb1bf000f0f50c28e3e4e4b2493cc35c326b399bde5a5347,2022-11,Merseyside Police,Merseyside Police,-2.978091,53.632023,On or near Ganton Close,E01006999,Sefton 008C,Unable to prosecute suspect
b2c1564c92f1582427f90955c9237571fcf5d312a637f00dabf073a8aecc7ee4,2022-11,Merseyside Police,Merseyside Police,-3.122371,53.332072,On or near Ferns Close,E01007187,Wirral 040B,Investigation complete; no suspect identified
c6c4f81e5c88aae0814228b8e0007ca73cfbb8da03bade6253b305af71d5b816,2022-11,Merseyside Police,Merseyside Police,-2.975561,53.402093,On or near A5039,E01006513,Liverpool 060A,Investigation complete; no suspect identified
c8e1f049181d46cb7e281906f6c21f319e3965a7e6c8f0e6993379e87ca057b5,2022-11,Merseyside Police,Merseyside Police,-2.798900,53.424359,On or near Bridge Road,E01006463,Knowsley 007C,Investigation complete; no suspect identified
15cfad3db914c031ed11c525cabd04a313bc1a23c63ced223e7b7bd167ecbd44,2022-11,Merseyside Police,Merseyside Police,-2.917649,53.408898,On or near Augusta Close,E01006716,Liverpool 032E,Unable to prosecute suspect
3ab3ff86188e15b73c73717397880b210c1452490d22c333478b4b46afb4f3fd,2022-11,Merseyside Police,Merseyside Police,-2.971619,53.438867,On or near ,E01006700,Liverpool 012E,Investigation complete; no suspect identified
5a32325e0672577d8dbdd827b11fb0a4a993c628592b37c3abca9630205d92fa,2022-11,Merseyside Police,Merseyside Police,-2.964653,53.391323,On or near Gwendoline Street,E01006676,Liverpool 044D,Unable to prosecute suspect
3ee7db45b0ef89841c237a521cd72127992b39d2ec8aec0161f0f8be69568f5d,2022-11,Merseyside Police,Merseyside Police,-2.830989,53.346638,On or near Speke Boulevard,E01006756,Liverpool 059D,Unable to prosecute suspect
ddc02e8cc3fcab99c18524c868f69cf2e261dd11803ec9bb76d7550bc544108d,2022-11,Merseyside Police,Merseyside Police,-2.748527,53.434357,On or near Darwin Grove,E01006905,St. Helens 019D,Unable to prosecute suspect
