Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
05bfc9c673dad767f1f59cf426e2916d33921430c49faf390c7871ad1f705f48,2022-11,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
d30b66c0049d31d7d55ae6f358384a53bbb35ef45c050382bc58e552c3ff8bf6,2022-11,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
3a12affc1c822b0c3466118d9e62c9406fa07f464c288ec7263b2f5a7aa4d709,2022-11,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
56f14688cdc76c6d8de6b1d209e6e07579b00e590b3f74311f745944259eef55,2022-11,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
fef39354d8d555d236bb2cb818b026cfd3dbf8f5af184b4e3b20dee992b1c9be,2022-11,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
ec5f7a912ebd13b264bbf8e97a05c6a1f39aed89c89179d0284f6ea83553c9b2,2022-11,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
6d0d3f851a5b40cbf8acffb65ce7649898c7bd51cd7b929d900fe0227a61a545,2022-11,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
d631f9de0c4a50548c25deda22f874c13c1a87a5257ddad8b0b54b79d97a52b4,2022-11,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
53e6995bc138037b1cd7e19d21382c4368c5f83cd7d60fc89d140b275b03771e,2022-11,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
ec0f19d8e828400bd1225eba7b78efd2ec238c22466e42c41bbfcf7258aff941,2022-11,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
fce0b90d382dc8a60d2cd3d81a669bf41efa2faef46972380134c9a4229dcbf5,2022-11,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
625d078f55560e8273dba05a595e23db35da0a0032955259990801762cd6b0ce,2022-11,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
412d74b22c71df012d8d1ac03aad6a787cd1de728f8757d2ed46544a7fd12046,2022-11,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
5f3647e90ecb5ea05952d1f647aeaaed809c24a7fd2d962edac15f96954faa20,2022-11,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
22d93d12abf60040b65947a355054d6f16eb7a0f7d634b754e224c0ab6a2fa03,2022-11,South Wales Police,South Wales Police,-3.347111,51.715513,On or near Merthyr Road,W01001313,Merthyr Tydfil 006F,Unable to prosecute suspect
3221b5e759b0028af60dc85ea6a9a018f934c3ae878cc96540105c6335b6d933,2022-11,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
22331f6e6fa73e0c52fa72269dbb606976624f0b452c5e15df00b3ce0eb5439d,2022-11,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
dfadff93d59444d053474bc35c5598a9062fcab51bc4b63e8638894628d02629,2022-11,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
247bfd0dbd47364f8a4f8819733d6f602c0c1b157f0e9e228072b40c59fe3033,2022-11,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
ed77844f3cbf8976b5eb919587249fd54f8d86f304d0ba03360a89c1bf805561,2022-11,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
bfe12d774af192f6a38e0c0e405d11fa8a4fac4353daa41385b7802f1b5792ed,2022-11,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
ad1b644ef51cef2b1305da2b5d1fa9f5bfe10e9889561385f5924c55e2c7118c,2022-11,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
742be1f043b065367ea1c3fd85b1cfbf3838560a2845a52f38e92a5a8677aec3,2022-11,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
aa5300f5444fe43a5a53e2887fe5a7327ba8defdb91699b946aafeaf0911ac80,2022-11,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
