Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
75c92f3684ec81ba3b17c93334ffcfb8c24e660326a5a4ea8a8b3ae51e135ac5,2022-11,Sussex Police,Sussex Police,,,No location,,,Unable to prosecute suspect
3e223ba1cb8bfbfeefb751c46ab24465c9de604b91388ce6dbe5b80391d1bae7,2022-11,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
f517a94082d7cc76eb0ae0827a24dbe0dc2b2b640853b00e34f97a1ba39cb6e3,2022-11,Sussex Police,Sussex Police,-0.135431,50.821130,On or near ,E01016941,Brighton and Hove 030A,Suspect charged
66c94138e684a59e9b843823b218ede06b3dc92f033f09a633af8cbb0bbbdf2b,2022-11,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
2eb014925e17342bc896273af0810a9b70fda2210f10c6918a48dee2703dac41,2022-11,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
5d56a3d94d8b7ffc6c9799f295c8b2baba88b7bac6ec1feda6645a731cb586e1,2022-11,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
297baa3137658682447b1ef4c3ef34d5108ee3ecc1ff601b65f24f2b6a302023,2022-11,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
8f923edd4699071f664c1c2a19acdb55901d9abda5c65c31c2e22506996e143a,2022-11,Sussex Police,Sussex Police,0.046825,50.793144,On or near Cloisters,E01021048,Lewes 008D,Local resolution
09daa76da7c363105f0026f5d0a1533a4e77a927f1a903f5b2def28980c7c146,2022-11,Sussex Police,Sussex Police,,,No location,,,Local resolution
d75c975a22dc67cf9a0449b3b7156524c981ac08179dbd93260b13e2d7f3c094,2022-11,Sussex Police,Sussex Police,,,No location,,,Local resolution
17056b4f109493b1a84b9af64ea7d8fd465038981046ddc875ecb78042d52f01,2022-11,Sussex Police,Sussex Police,,,No location,,,Action to be taken by another organisation
dd1df4dcd5461969d0710a12b455472888a36d79e8c5d3e52f14dfb579089811,2022-11,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
714535ac18df61d274b27160c1382f8731858e18f34124fa6551ef01561c7a50,2022-11,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
1e1599aaab27612c2980bfb00dca2aeaf529ee8cce378b4d44959ff59472f921,2022-11,Sussex Police,Sussex Police,,,No location,,,Suspect charged
7b186c1d069a4eeee03cffa68c3a71f23d562ba2bba7907f012fb805a002bdd1,2022-11,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
1c7a2e5b68b4129118590dec525cf6fca350c762df36f4ccea31315300b097f0,2022-11,Sussex Police,Sussex Police,-0.129070,50.955291,On or near ,E01031708,Mid Sussex 014C,Unable to prosecute suspect
3d17cc3e4b8725f1f4109e8db0101bf1e1ba5917825c0a0b2fbdbfc7a8e3602d,2022-11,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
07dd11ce8bf057cf76efd85d18c1427126ee27695e14214f614f344cdf72861f,2022-11,Sussex Police,Sussex Police,,,No location,,,Unable to prosecute suspect
711dc0ddefae93d16f9a596c7af9e3d1daec49b4a5c93a02db043f0c254362a3,2022-11,Sussex Police,Sussex Police,,,No location,,,Unable to prosecute suspect
8bbe71a9c3737a85f2f9a05e48d39d921e7b95e08b2bd60febd1f141a42abaaa,2022-11,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
b6a2f60e5d2edb32347344fb1f9ab8c4212d017f8461c7ed12a98f9b16258127,2022-11,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
9dbdd57095d61deeb9df2a9879f498c0771e572a5cc4e799ff4203058b8a4b78,2022-11,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
c34654bb2b00b3c97ee11eb9361d55efbe23f652b92b588d1a8db8be971fd1f2,2022-11,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
3f1efcb10100d1de525915d5540616d4f4ab0512fcc0295091dcf16ccad81961,2022-11,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
