Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a19c003adf627480f0da88c8f52e358b564e226e81a24e18547d33fe25459e47,2022-12,Wiltshire Police,Wiltshire Police,-1.787062,51.597842,On or near Falconer Mews,E01015472,Swindon 028B,Unable to prosecute suspect
0fac6e7aba9811ea3b7b3cf7031dd4df6f18d6127ab598372d67c4ae8d089dc9,2022-12,Wiltshire Police,Wiltshire Police,-1.936546,51.314839,On or near Foxley Fields,E01031883,Wiltshire 034D,Unable to prosecute suspect
57b42ddb9188cfeee77a4b9ede83214735fb0e9e639f4d0571a1cb70b6bc135f,2022-12,Wiltshire Police,Wiltshire Police,-1.784788,51.562772,On or near ,E01015476,Swindon 015B,Unable to prosecute suspect
44ee2bf1987b3cc91d4f150a2cd1241dd21f6f11c9f62cdfdafea4c877478fcc,2022-12,Wiltshire Police,Wiltshire Police,-2.140587,51.374701,On or near ,E01032062,Wiltshire 022A,Suspect charged
f8df3a1f961319a178863b801647491d13c7994353729a3ba6ff655a99d43e67,2022-12,Wiltshire Police,Wiltshire Police,-1.749656,51.553153,On or near Royston Road,E01015541,Swindon 020D,Investigation complete; no suspect identified
18f7f83028a5d149d556f7a10ad77d0c90f6a5a879ea3de971b0d7497c70bec8,2022-12,Wiltshire Police,Wiltshire Police,-1.755347,51.564953,On or near Maitland Road,E01015575,Swindon 016D,Unable to prosecute suspect
2f26a67a96a531cb839cd254c2c50e29e84c5d42eda192995eefb54539698aab,2022-12,Wiltshire Police,Wiltshire Police,-1.778522,51.557914,On or near Durham Street,E01032714,Swindon 019E,Unable to prosecute suspect
63ce6b4c00929ecfc302ce7fc43ef7faa3a90dd2570f010bab9ea74cdea55843,2022-12,Wiltshire Police,Wiltshire Police,-2.214991,51.312976,On or near Centenary Court,E01032094,Wiltshire 035C,Unable to prosecute suspect
208d300fe86c37b93cfdb4ea067de671467f4dff6f28b3fc7eaf3ecd938b3008,2022-12,Wiltshire Police,Wiltshire Police,-1.775335,51.563662,On or near Bathurst Road,E01015475,Swindon 015A,Unable to prosecute suspect
d1f894e7fe7ef2a80ad985804ee92ae63b043ba602a72c017a61cc70e5bb9078,2022-12,Wiltshire Police,Wiltshire Police,-2.209996,51.321977,On or near Back Street,E01032086,Wiltshire 031B,Unable to prosecute suspect
d1f894e7fe7ef2a80ad985804ee92ae63b043ba602a72c017a61cc70e5bb9078,2022-12,Wiltshire Police,Wiltshire Police,-2.209996,51.321977,On or near Back Street,E01032086,Wiltshire 031B,Unable to prosecute suspect
2a0078541816830593388a510fe9809e711e80116067a4c75b2f80971770f3a1,2022-12,Wiltshire Police,Wiltshire Police,-1.719055,51.580463,On or near ,E01015473,Swindon 008A,Unable to prosecute suspect
acfccf7581004ce1c0e993dbb8486946becf05205aa90d4a309ec0fa96113929,2022-12,Wiltshire Police,Wiltshire Police,-2.201028,51.318954,On or near A361,E01032101,Wiltshire 032C,Formal action is not in the public interest
ff6f2fc39b788013f4a14a0c5f07963cc056fdca73991fd796270f8abf20f5e3,2022-12,Wiltshire Police,Wiltshire Police,-1.789823,51.043946,On or near ,E01032000,Wiltshire 057A,Investigation complete; no suspect identified
