Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
bda473fb14593d7a32517917346b76c6db659abc29a8eb5ae7779c4464a0dd59,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.235773,51.007476,On or near Scratchface Lane,E01020283,Torridge 004D,Further investigation is not in the public interest
642c8997c878288c4377f3ecdf467b2b100c5aaba5dcfc4a018ff5e5b0031b2a,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-3.192504,50.799812,On or near Parking Area,E01019932,East Devon 002B,Investigation complete; no suspect identified
f24f667ef79cf921b7191d3fbe9bd4280a7655adf6f9bb7d9c263ce86b4e0cdc,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-5.542946,50.120132,On or near Trevean Road,E01018995,Cornwall 068A,Unable to prosecute suspect
32670732c8d8eb8698bdc7df18085330848e36c23d811434c53a81fe59824218,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
dd1212564e7df2f83e03e2550780bbaab2296396c9c3181ee89a13e87b27aa5f,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
5a6118c66b0d19983fb569d5b63b4eae997b5079f1a6d3fab119b1331070c77b,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Formal action is not in the public interest
54ae1ae1121741a65c94787553299b8952fd3f4ef39f84d50780bd09ea0a4564,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
c068ac51c372128bd89d60ffa7012dd350598fea897ea41816162683b8156716,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
8e6eb9c9659775eb13edd46249b3a023bfc8f81874ad0664c03e7f0ce429f4fd,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Formal action is not in the public interest
04364e46edb4dd062bff1fad704cc4bfb8c478248b382def2fb2ae2259f026e8,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
068f93c9279e021ab9ee5508e326d4c425601f1c8b42e2dc003907dabf5b5eb5,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
73a8a0a4eca3b570df663e36fd53f9ab3d28693e4636cf5637c7306d19c9c48c,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Local resolution
a159b34b7ecd4a937dc47d71b6fbaacb10e1422f370e066340c2d47c419238ff,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
085925e813f738a8559ea625291721bc2f40f048b8b58009fa624de0eac0e833,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Further investigation is not in the public interest
0e7b0fe3a959ec585af9aeac103bc450f52275ae53af384d3911c4a981e37186,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
149cfe354514fb9da78bc0fdb0ac7aa41a82003f8db896ebdb320e122bdb2940,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
d1e627e3c1f9c68ca6c17a05e710add4cd3aca1b7f9932c538d60817b0316250,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
0a0a35dd44203f9ca6029d353eef504d8623cfae3c9f7209283ef2848bd4f255,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Local resolution
f57a057fb2ee0ece4061464dfe9db681ef86e7a17fc5d4af98fef068cea9a9fc,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
0ee9bb63987e3bdd1ed9ba2791d6dc84958916af64f8c2f96654194904dba0ec,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Further investigation is not in the public interest
80d4a0d68aa97979210ffece3b0b4c247d00b52d6b4f809f5e341f4b3e21ca1f,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
01a94188f7fe13eb7edb960934306e9703aec0581cf5d8cf777ab9378dbaa0ef,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
2215e11387adb0e1b0790cc843e5e4155f9c35dd0dd28f2a26287a5a5ed955ac,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
eb3646a60b958f1e146af044a25d3f202861ec504779846579d091b7d02f20a2,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Local resolution
6d7e0d20e72fd24ced812814e1648a0392a6f4b6f4fd6b98462e9f220e4a14b2,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
e19980c6a187e87c47236d364796455a57cf18cbdd77f9b5811fa0a5a140f315,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
2d62990e0f8a0a5a3fc0bf2cb36462b6585dfde594e3f6d3cb2c0e2031e78e9e,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
0c6a056ebe50af4ca5781902698298ec5d3a01deb7dbfaaeeee495191ece8986,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
56ad61930571042d5425fd86b1fdd0f63f16f56c835be584eb9d6e472f8fc881,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
0685e1664b937ef843535bbb592052e0045c75bb9684c7bfca19e41b13a29916,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
f19f609517ae16960b5877685ee5734563e4c56e6836e1042fc9ea3e2cc05756,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
81dad3d74c77c4f97a4a2f044ce9d9972284490f5c5014f0fea35f739808bf7c,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
ef10b14a4ca6d6d27b5d80bdfc9c0a11015962d397fec93371819c9c092c2c54,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
dafafa29b4d44e13bf32ab29041d8e09154e1863abea815d5cbc3b0e5a4f3be1,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
247b5f016748cc9c99508fd9d40e090b3d3c48accb869be2e3d954613efb6f03,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.045537,50.381386,On or near Longbrook Street,E01015115,Plymouth 022C,Unable to prosecute suspect
2eb17234d26e1e00ba3228a1f1191f878cbb4924624014000e2fe2e68495fd78,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.037418,51.076487,On or near Sowden Park,E01020103,North Devon 010B,Investigation complete; no suspect identified
a3ae0a6a7b813c008c38b31beebd069a9db2ca1c5576a6acb9cc940a2bee0d03,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
edc748d0d3cd77636b2b92ad9dbc8bc3f5d7877fd58bbb37f86e7fad614f0f92,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.137963,50.415062,On or near Guildford Close,E01015023,Plymouth 003A,Further action is not in the public interest
f7b20d303877225b3329bf407b20be09a209f1a64492c8dd56149418ec0f710e,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.013440,51.062487,On or near Manor Court,E01020121,North Devon 012D,Investigation complete; no suspect identified
14d8eae3e969acb6ca3a031093a4c4a71a6eae06baca4bfbf8fd6efc0b9c1c3d,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.893332,50.579376,On or near Parking Area,E01033289,Cornwall 007E,Local resolution
8bbb6d78ab1d7285cc69caa86faa16a56cf8f9f297d76810860580b6233fdd1c,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-2.990191,50.788998,On or near Cloakham Drive,E01034619,East Devon 005G,Unable to prosecute suspect
d161379c034dcf81bed4b110f5edb16c5fa285b3e72c89fbc41e4f306410244f,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.059316,51.080645,On or near Market Street,E01020094,North Devon 008A,Local resolution
2e50d4f195a9fcc99afbf8a66f88f0f46e0c6dc639a9074580721fc62b562fa4,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-3.777789,50.283508,On or near Mill Street,E01020169,South Hams 010B,Unable to prosecute suspect
7cbcb0833ed6f1d822a730724e9f589830590cc6710bd61fb066ddcfc5c20938,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-5.085354,50.222544,On or near Forth Coth,E01018817,Cornwall 047B,Investigation complete; no suspect identified
d74707c9a0b1b53a762a531d419277942858bb52b31cc253303e12563fe37653,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-3.920245,50.390655,On or near Erme Road,E01020161,South Hams 005A,Unable to prosecute suspect
3b665f7dcbce1d7ff1fb9239294c2f33da3a50f636071b7701939580b207bf90,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-3.832672,51.019048,On or near Elysian Court,E01020137,North Devon 013E,Unable to prosecute suspect
c99ffce2ca1f94e0f315d07415bb2ea2ccdf7da5b7937596d60eacb64d0848e8,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-3.708016,50.393706,On or near Bow Road,E01020143,South Hams 006B,Unable to prosecute suspect
67b53d2edb450ae2c5907268dfa1cfeb71344dba5ce5dfcd22c7e90903c32c33,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-3.401062,50.644015,On or near Thomas Close,E01019908,East Devon 016A,Offender given a caution
b0acba52f84cc9f2ec3a0cb59b7f92626e9e974be990f6bc26683f7dcb078d2f,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.528092,50.828124,On or near Supermarket,E01018937,Cornwall 001B,Suspect charged
6ef951c139471be61ad9d9c7b206a87d942675947d88f0577b18d6dae5e181d7,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-3.537540,50.715634,On or near Beaufort Road,E01020030,Exeter 010C,Offender given a caution
e5d16103e9b4f956c65f32f03d84b76a57ecbc0bfe56a778f41122a49ab30025,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.087073,51.068632,On or near Mulberry Way,E01020084,North Devon 012A,Offender given a caution
afc5ad7fea17ddda382f16945a01252bf46ef11a9f16feef009a205d695e76ba,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-5.519438,50.129089,On or near Jelbert Way,E01018996,Cornwall 067D,Offender given a caution
5c79c6c9b62871503619949cbaf62f87f12f03ca7e594d2d206698b4a508f39c,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.684429,50.616656,On or near Roughtor Drive,E01033292,Cornwall 004E,Offender given a caution
b80f26dc273fb9fa4ddd55079338856d1db4a8d674c72941a18cbb2fb08afcf7,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.450164,50.363119,On or near Glebelands,E01018774,Cornwall 028E,Suspect charged
26ac83fcf2f6bbb2106cfad1f3de211d3b865c87c4af4a5b6e898c8ecca1f827,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.353843,50.629951,On or near Supermarket,E01034847,Cornwall 005F,Offender given a caution
04c8b72b5458982552f8a1d2bef95104cffe5535a385788f34a3a7fa98813743,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.790692,50.326530,On or near Penscott Lane,E01019067,Cornwall 041E,Suspect charged
bdfd1e1ff70c0d2053e3ad4cf99a51372e54bf41b2fabdd22a3dc7f7da035eb8,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-3.474969,50.706056,On or near Mulligan Drive,E01034633,Exeter 011I,Suspect charged
bdfd1e1ff70c0d2053e3ad4cf99a51372e54bf41b2fabdd22a3dc7f7da035eb8,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-3.474969,50.706056,On or near Mulligan Drive,E01034633,Exeter 011I,Suspect charged
542fc317543dd04ab6b944b3e4980d210d6c7296a736f3607a36512b22c7e1c6,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.152529,50.372448,On or near Neswick Street,E01015153,Plymouth 033C,Suspect charged
e09ac936af0ddc1b3930aa18e8a3a2f456060e637cb3a21df4efaed1856c149d,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.135537,50.376773,On or near Bedford Terrace,E01015052,Plymouth 028A,Suspect charged
c873f0c1f6bd311e54b7957b962d61bb68930896b2c594572f187176b133b841,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.135537,50.376773,On or near Bedford Terrace,E01015052,Plymouth 028A,Suspect charged
b6c3f8d7a6f71cd5aa781b55f75470f88c506deef3178be016cbfae6311f5232,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-5.075109,50.413345,On or near Supermarket,E01019020,Cornwall 021C,Unable to prosecute suspect
8ba830445948f38ab48f8fcb6c241accb3156dbaed36baa6623c2407db9f73c5,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.160918,50.414377,On or near Lamerton Close,E01015085,Plymouth 006A,Suspect charged
8ba830445948f38ab48f8fcb6c241accb3156dbaed36baa6623c2407db9f73c5,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.160918,50.414377,On or near Lamerton Close,E01015085,Plymouth 006A,Suspect charged
2cbbb64ca1ee1cacb3edd3c72527616e5f89f68b43da6330b43f395229f0c602,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.174446,50.378917,On or near Supermarket,E01015044,Plymouth 020B,Suspect charged
de0908cc503bba5e8fd67338c085636f3f270a94d03d59c469ab4b03dc040de4,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.159745,50.369409,On or near Supermarket,E01034159,Plymouth 034B,Suspect charged
c94f13717108e6ddbb921fbcae30a55aa474345c531b6a00b1c91ef4d293df0c,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.174446,50.378917,On or near Supermarket,E01015044,Plymouth 020B,Suspect charged
09d956a9482e58084539fe07cf6c8cf0a59541ce9d55103311f49f65876a92e0,2023-01,Devon & Cornwall Police,Devon & Cornwall Police,-4.159745,50.369409,On or near Supermarket,E01034159,Plymouth 034B,Suspect charged
