Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
db9a9d2a3cbb1378169f95e02c6b4f92c554679c3dd346b249d0698b18fd3717,2023-01,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.217670,51.840072,On or near Rectory Road,E01022324,Gloucester 011E,Investigation complete; no suspect identified
ddf0ff81e0cfefdc52276ed77becb1bf2588f0a5ae145812a6c4d5e3e33e2703,2023-01,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.254959,51.850687,On or near Granville Street,E01022330,Gloucester 009C,Unable to prosecute suspect
e0e4db2bab36017e3a12e278f92269716230c5b3d71a19a47d6375e46364f56f,2023-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
eb237802b3d8fc54974490d32bb56478ca403201d2fd2a2b21bd81f5ac30d433,2023-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
2827bf421d92df743ffc4a5611b56a0cac31ad754569df5589da887906539731,2023-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
b64db7122bd217f0ee2fe5ad890259f89012e8afbcbf82a6c9ad7e1f2493d43d,2023-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
432c5befdceef5a7463fd8417e6d3d8d148a11fde981eea8a7f02c7b73f77375,2023-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
e57c3be7a7f20f9b3a40c87b91cb800113e94f5a4bba4002729cdd99ac9e7e60,2023-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
2d30563b0710948500b417dd0593964ccd757107e187c0567bc61f205a134303,2023-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
bae0502f8c012d6a8171932953cf99ea4103f690934739a0db246ae5eb342b3a,2023-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
572cd9f693adf18690947bd7c792a7a9f69930f052ad9235285c29f5d494d836,2023-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
d583e70af8976301c01bbf7dd467378dcc07a17d834efb4872a79586a97ecf76,2023-01,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
