Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ef63ee89f6d839cc5b39c09593f2fff7fd0c3b86ce94406e91b0acb36bbb201f,2023-03,Dorset Police,Dorset Police,-1.891388,50.742003,On or near Talbot Avenue,E01015388,Poole 009C,Suspect charged
b0c39e4f956e9f24140c142567a245343dbbb96c6525287aebdde7f6c815066e,2023-03,Dorset Police,Dorset Police,-1.896753,50.770568,On or near Horsham Avenue,E01015303,Bournemouth 001B,Offender given a caution
9eb41545eb52815e0eed62d80cd8e090f1b95a05b3cccc2af46c1461063680e1,2023-03,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
d7d976e6dd36539966a60525d2c429460a2c6996a038a6a3eebdbbd424b96d0d,2023-03,Dorset Police,Dorset Police,-1.925080,50.890411,On or near ,E01020389,East Dorset 001C,Unable to prosecute suspect
9653d8306cfa28e04f97f506353b853925c3c76173382285cb37f1a492f86378,2023-03,Dorset Police,Dorset Police,-2.798234,50.765956,On or near Wood Lane,E01020517,West Dorset 007B,Unable to prosecute suspect
6b72d188738c62eefb356f04392ef570b48a09f6b9d65249f6de79371c6f57f7,2023-03,Dorset Police,Dorset Police,-2.018448,50.719462,On or near Hercules Road,E01015428,Poole 014B,Investigation complete; no suspect identified
9767617b08ba6cd1b9a49dadebbb4993d136c60c5420ae40c665cd8ecc28295e,2023-03,Dorset Police,Dorset Police,-1.852165,50.726384,On or near Vale Road,E01015289,Bournemouth 021C,Investigation complete; no suspect identified
d742139b05eb734c5331cc78c501b20e9d1a931309cf3ac5f069483de442c55c,2023-03,Dorset Police,Dorset Police,-1.837437,50.724584,On or near Florence Road,E01015280,Bournemouth 019C,Investigation complete; no suspect identified
8bb6cb63511ebd3a1a036e2ec4fce4015eae03f6e86d8e22b053f1a55e7fd9ad,2023-03,Dorset Police,Dorset Police,-1.980074,50.718436,On or near ,E01032659,Poole 015F,Investigation complete; no suspect identified
c1c73bcc209b985353c3cd34b8021f560a20305731ad800686b41e791523368b,2023-03,Dorset Police,Dorset Police,-1.878270,50.745254,On or near Wimborne Road,E01015374,Bournemouth 009C,Investigation complete; no suspect identified
60b21c3d6c1234107d69a3ba0c33722f885f9fdea64e788df5d8a87b027dce17,2023-03,Dorset Police,Dorset Police,-1.911212,50.758467,On or near Cunningham Place,E01015313,Bournemouth 005D,Investigation complete; no suspect identified
fccf5fec02435eb80265ee52606d3075987d7f2d4d80adc2f63f13ae64665466,2023-03,Dorset Police,Dorset Police,-1.878270,50.745254,On or near Wimborne Road,E01015374,Bournemouth 009C,Investigation complete; no suspect identified
0c41719a77c340de168adb71a2f6457ae6c9f552fb43a948ca1274b0742b75c4,2023-03,Dorset Police,Dorset Police,-1.816742,50.745722,On or near ,E01015319,Bournemouth 011D,Investigation complete; no suspect identified
8b2acab32c439a41ffc4f985ff8e83d0c5277f45bae7be0c9b2fdc84fa13e160,2023-03,Dorset Police,Dorset Police,-2.192863,51.007044,On or near ,E01020454,North Dorset 003A,Investigation complete; no suspect identified
5e50860095218ecae01d0b3cd0f51bccc36d268c673b473da1a1ec3a1d0891cb,2023-03,Dorset Police,Dorset Police,-1.805104,50.732340,On or near ,E01015361,Bournemouth 014C,Investigation complete; no suspect identified
415743acc1ca5df6468ab6e9f41ce52ed8c0747c35a94cbd3bcabcf711da1e2c,2023-03,Dorset Police,Dorset Police,-1.838312,50.729774,On or near Shelley Road East,E01015277,Bournemouth 016E,Investigation complete; no suspect identified
6d85a05037ebc6f954b6f5cfef9904b28d05cae21a874b4364c20db56921a111,2023-03,Dorset Police,Dorset Police,-1.907793,50.759741,On or near Mount Road,E01015313,Bournemouth 005D,Investigation complete; no suspect identified
dc5d90c82a73dd28afd4b841c3be016a522da514fb4b1fb45395e711dfa8044d,2023-03,Dorset Police,Dorset Police,-1.930189,50.696035,On or near ,E01015406,Poole 018E,Investigation complete; no suspect identified
6f2db45072eb0c36ff7de1c07b16f906324d51296ee2cfa95c6cde1dcb5db28b,2023-03,Dorset Police,Dorset Police,-2.439095,50.713483,On or near Alexandra Terrace,E01032644,West Dorset 009H,Investigation complete; no suspect identified
bb27efc0428f4891e0bd47a05cb6c047844ca1f013b8e23e9e43ba3ee49bdb86,2023-03,Dorset Police,Dorset Police,-2.491406,50.612321,On or near ,E01020516,West Dorset 012E,Investigation complete; no suspect identified
97bda9b4636f752d5b8e78c0725f15eaa9ad130f3d7a12ba04da5acf7ae90f90,2023-03,Dorset Police,Dorset Police,-1.798747,50.724533,On or near Ken Road,E01015300,Bournemouth 020E,Investigation complete; no suspect identified
cc1055cf2c920f7e006ef87d7cab0d509e228d0f3eff860e3922b7b93e5d3518,2023-03,Dorset Police,Dorset Police,-2.099858,50.706597,On or near The Beeches,E01020477,Purbeck 003B,Investigation complete; no suspect identified
b0f11aaf9aeb821ef58b5777713433a35d34d7fa7104f7e812114f008506baf2,2023-03,Dorset Police,Dorset Police,-1.941582,50.734260,On or near Livingstone Road,E01015438,Poole 008A,Investigation complete; no suspect identified
