Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
89ed09e9485ca70632415c58002fe3146657f75f8500d5a2ce8d94b92928c7fe,2023-03,Hampshire Constabulary,Hampshire Constabulary,-1.480538,51.206368,On or near Bridge Street,E01023202,Test Valley 003C,Unable to prosecute suspect
151d226dfb624afd38e3fca4c6ad71d3bd7355807991fbdb06c0c8d47f556665,2023-03,Hampshire Constabulary,Hampshire Constabulary,-1.077636,50.783713,On or near Waverley Road,E01017071,Portsmouth 025A,Unable to prosecute suspect
813879d03be0f53d003d1a1a58459feb3047a0ec74c2a45dac7344a613c8dfe0,2023-03,Hampshire Constabulary,Hampshire Constabulary,-1.123306,51.243111,On or near Carmichael Way,E01022478,Basingstoke and Deane 019C,Investigation complete; no suspect identified
5186cafecc0263683480a6a52d9a67dc73c96e8a4cd8de6138b40947504ab583,2023-03,Hampshire Constabulary,Hampshire Constabulary,-1.157546,51.358316,On or near Hangar Road,E01022556,Basingstoke and Deane 001D,Unable to prosecute suspect
31e9df51aa04decfaf38742623db29612b64e08e5dd06c53c2be10068b3a0338,2023-03,Hampshire Constabulary,Hampshire Constabulary,-1.183978,50.833714,On or near ,E01032877,Fareham 013F,Investigation complete; no suspect identified
bd22c22ce9adda1b83a4534a4df8b089e2c9054d479c8c119244aa6fb1ce68bb,2023-03,Hampshire Constabulary,Hampshire Constabulary,-1.183978,50.833714,On or near ,E01032877,Fareham 013F,Investigation complete; no suspect identified
5fa39785c2c611a9913c786cb6a0d4ebe3848e4e62745695e14785c1e0bb9550,2023-03,Hampshire Constabulary,Hampshire Constabulary,-1.083643,50.824768,On or near ,E01017084,Portsmouth 009A,Investigation complete; no suspect identified
07139552e51e5f3cc90191b84855367edf0979004f5ec5ea2b013811345df899,2023-03,Hampshire Constabulary,Hampshire Constabulary,-0.867099,51.259319,On or near ,E01022856,Hart 010D,Investigation complete; no suspect identified
1de13907a86657314dbb7267e1bab3363f679239ae665e5c7558852a5a00f547,2023-03,Hampshire Constabulary,Hampshire Constabulary,-1.454222,50.914181,On or near Manor House Avenue,E01017214,Southampton 019C,Investigation complete; no suspect identified
79abec5c9d5828457031abffba65616b3c79063f32b6f2ae46639b48c219c9df,2023-03,Hampshire Constabulary,Hampshire Constabulary,-1.490600,50.920253,On or near ,E01023077,New Forest 004B,Investigation complete; no suspect identified
29ab58f2e7205753b354b2438403537b5f16c06138138343d2bd6ee6eca86c14,2023-03,Hampshire Constabulary,Hampshire Constabulary,-1.403191,50.872467,On or near Mount House Close,E01023008,New Forest 009A,Unable to prosecute suspect
96fde17d3bf7cc7dc8db4a1ecef2792fde591611e0010c07d79138a744aa345a,2023-03,Hampshire Constabulary,Hampshire Constabulary,-1.333006,50.970429,On or near Hamilton Road,E01022650,Eastleigh 005F,Unable to prosecute suspect
9d834ecf20122b5d5afb88055ad9cb7b5ec051a09a3a41d9e0f6a2ebb26a5390,2023-03,Hampshire Constabulary,Hampshire Constabulary,-1.385903,50.911855,On or near Princes Street,E01017154,Southampton 022B,Investigation complete; no suspect identified
aeb1ee1dae5e40a25eeccd8b94eb3090da213fdc15d433e5872722b6963d6a26,2023-03,Hampshire Constabulary,Hampshire Constabulary,-1.293019,51.062069,On or near A272,E01023258,Winchester 006E,Unable to prosecute suspect
cb851596af1a0b8c9ac2985c87c3b89ab21d79de3fa2bc7c0e149fbb0a1d506c,2023-03,Hampshire Constabulary,Hampshire Constabulary,-0.768550,51.305642,On or near Caswell Close,E01023122,Rushmoor 002D,Investigation complete; no suspect identified
e51b65ab929bd438c8bf6e1db27d6becc7ebf0b4c114e4855b4acecaa6d995cd,2023-03,Hampshire Constabulary,Hampshire Constabulary,-1.103207,51.263740,On or near ,E01022482,Basingstoke and Deane 012B,Investigation complete; no suspect identified
33fb26cd548e698e91a04a6c2bd245a98fcff6818dea4297350e49680dad9ff4,2023-03,Hampshire Constabulary,Hampshire Constabulary,-1.138892,51.348226,On or near Christy Court,E01022558,Basingstoke and Deane 002E,Investigation complete; no suspect identified
2b7f764448f5a98b4a832e29b35be09577cf583649f8a462624dcfd7ef88317c,2023-03,Hampshire Constabulary,Hampshire Constabulary,-1.161128,51.087697,On or near Nursery Road,E01023278,Winchester 004B,Investigation complete; no suspect identified
