Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
decb16f3adb6c4d6599d0fce3dc475ac557f8354d0c4a7e4853a2d6fabf62da3,2023-03,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
2cc8fdc686813508ae0d6c3c5532603064240ad4215d14f06312d55c2d626c52,2023-03,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
bb0fd1ee67cc3d288215ec796098256e3cb7648578156817e8ad94debd211375,2023-03,Suffolk Constabulary,Suffolk Constabulary,1.327824,51.958268,On or near Peewit Hill,E01030170,Suffolk Coastal 014E,Unable to prosecute suspect
b87f27303b65096e4a2c1ee86eead4cbed3a04cae511f439eb09b5c26465215a,2023-03,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
8772a6b39a36d7e7c9f4d2c74bc7cffe146f99028f03d282500c2501df272e4c,2023-03,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Action to be taken by another organisation
bbe8a6ce79bad8388aec4a1a183f5ed0bd30c79ebd6ac86fa48046abe0930d13,2023-03,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
0cfcf7c955de8f00aa6eb41419c4eea244a4b12128758765c6e397d38d5abc06,2023-03,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
6797413899165b9f7e1d1136b821c04f08e18fb4f9870aafe55f282eec66bca3,2023-03,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
1442c8aa3a48a2ec2fdfa50adbeef405175ed20f7cc856199f9ab70553885a22,2023-03,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
55f12f6926004f7dba1ee928811f0e051919fc99051814e182eb57c4707a76a2,2023-03,Suffolk Constabulary,Suffolk Constabulary,1.737895,52.494761,On or near Spexhall Way,E01030279,Waveney 002D,Investigation complete; no suspect identified
6af16972548e51206490491ba35e0a3f6e30256ff6e0679b297bfd41b14b1ccb,2023-03,Suffolk Constabulary,Suffolk Constabulary,1.206503,52.033505,On or near ,E01033127,Ipswich 014E,Investigation complete; no suspect identified
